昨暗(Nd) 晡阿(Nd) 伯(Na) 請(VF) 大家(Nh) 食飯(VA) 。(PERIODCATEGORY) 	昨天(Nd) 晚上(Nd) 伯父(Na) 請(VF) 大家(Nh) 吃飯(VA) 。(PERIODCATEGORY)
阿哥(Na) 天(Na) 　(D) 吂(D) 光(VC) 就(D) 愛(D) 出門(VA) 做(VA) 事(T) 。(PERIODCATEGORY) 	哥哥(Na) 天(Na) 還(D) 沒(D) 亮(VC) 就(D) 得(D) 出門(VA) 工作(VA) 了(T) 。(PERIODCATEGORY)
阿哥(Na) 有心(VL) 　(D) 同(P) 你(Nh) 行(VH) 。(PERIODCATEGORY) 	阿哥(Na) 有心(VL) 要(D) 和(P) 你(Nh) 在一起(VH) 。(PERIODCATEGORY)
後天(Nd) 要(D) 去(VCL) 嬸(Na) 嬸(Nc) 家(VC) 看(Na) 人舞(VC) 龍(PERIODCATEGORY) 	後天(Nd) 要(D) 去(VCL) 嬸嬸(Na) 家(Nc) 看(VC) 人(Na) 舞龍(VC) 。(PERIODCATEGORY)
阿舅(Na) 个(DE) 女朋(Na) 友(VC) 生(DE) 來(Dfa) 已靚(VH) 。(PERIODCATEGORY) 	舅舅(Na) 的(DE) 女友(Na) 長(VC) 得(DE) 很(Dfa) 漂亮(VH) 。(PERIODCATEGORY)
做(VG) 阿姆(Na) 个(DE) 都(D) 　(SHI) 係惜(VJ) 細人(Na) 个(T) 。(PERIODCATEGORY) 	做(VG) 母親(Na) 的(DE) 都(D) 是(SHI) 疼愛(VJ) 孩子(Na) 的(T) 。(PERIODCATEGORY)
現(Nd) 下(D) 　(DE) 个細(VH) 妹仔(Na) 都(D) 　(SHI) 係阿(VH) 嬭(DE) 較(Dfa) 多(VH) 。(PERIODCATEGORY) 	現今(Nd) 時下(D) 的(DE) 年輕(VH) 女子(Na) 都(D) 是(SHI) 嬌生慣養(VH) 的(DE) 比較(Dfa) 多(VH) 。(PERIODCATEGORY)
阿嫂(Na) 在(P) 田(Na) 肚(Ncd) 做事(VA) 。(PERIODCATEGORY) 	嫂嫂(Na) 在(P) 田(Na) 裡(Ncd) 工作(VA) 。(PERIODCATEGORY)
阿嫂(Na) ，(COMMACATEGORY) 你(Nh) 這(Nep) 　(Nf) 領衫(Na) 已(Dfa) 好看(VH) 喔(T) ！(EXCLAMATIONCATEGORY) 	大嫂(Na) ，(COMMACATEGORY) 你(Nh) 這(Nep) 件(Nf) 衣服(Na) 很(Dfa) 好看(VH) 喔(T) ！(EXCLAMATIONCATEGORY)
阿(Na) 太(Na) ，(COMMACATEGORY) 祝(VE) 你(Nh) 長命百歲(VH) 。(PERIODCATEGORY) 	曾祖(Na) 爺爺(Na) ，(COMMACATEGORY) 祝(VE) 你們(Nh) 長命百歲(VH) 。(PERIODCATEGORY)
阿伯(Na) 公，(VE) 借問(Nd) 郵局(Nc) 在(P) 哪位(Ncd) ？(QUESTIONCATEGORY) 	老先生(Na) 請問(VE) 一下(Nd) 郵局(Nc) 在(P) 哪裡(Ncd) ？(QUESTIONCATEGORY)
年初一(Nd) 　(DE) 个朝(Nd) 晨(D) 愛拜(VC) 阿(Na) 公婆(Na) 。(PERIODCATEGORY) 	大年初一(Nd) 的(DE) 早上(Nd) 要(D) 祭拜(VC) 祖先(Na) 牌位(Na) 。(PERIODCATEGORY)
阿公(Na) 太(DE) 歲數(Na) 恁(Dfa) 大(VH) ，(Cbb) 身體(Na) 還(D) 當(Dfa) 健(VH) 。(PERIODCATEGORY) 	曾祖父(Na) 的(DE) 年紀(Na) 很(Dfa) 大(VH) 但(Cbb) 身體(Na) 還(D) 很(Dfa) 健康(VH) 。(PERIODCATEGORY)
　(Nh) 阿(DE) 姆(Na) 哀(T) ！(EXCLAMATIONCATEGORY) 連(Cbb) 人肉(Na) 也(D) 敢(VL) 食(VC) ！(EXCLAMATIONCATEGORY) 	我(Nh) 的(DE) 天(Na) 呀(T) ！(EXCLAMATIONCATEGORY) 連(Cbb) 人肉(Na) 都(D) 敢(VL) 吃(VC) ！(EXCLAMATIONCATEGORY)
　(Nep) 該(VJ) 隻(Na) 阿(DE) 婆官(Na) ，(COMMACATEGORY) 盡(Dfa) 無(D) 擔當(VH) 。(PERIODCATEGORY) 	那(Nep) 沒有(VJ) 魄力(Na) 的(DE) 傢伙(Na) ，(COMMACATEGORY) 最(Dfa) 沒(D) 擔當(VH) 。(PERIODCATEGORY)
阿叔(Na) 仔今(Nd) 年年(Nd) 尾(D) 愛討餔(VA) 娘(T) 。(PERIODCATEGORY) 	小叔(Na) 今年(Nd) 年底(Nd) 要(D) 娶媳婦(VA) 了(T) 。(PERIODCATEGORY)
這(Nep) 擺(Nf) 棒球(Na) 比賽(Na) 厥(Nh) 學校(Nc) 得(VJ) 著亞(Neu) 軍(Nf) 。(PERIODCATEGORY) 	這(Nep) 次(Nf) 棒球(Na) 比賽(Na) 他們(Nh) 學校(Nc) 得到(VJ) 第二(Neu) 名(Nf) 。(PERIODCATEGORY)
摎(P) 啞仔(Na) 喊做(VG) 啞狗(A) 　(SHI) 係(Dfa) 無(VJ) 教(Na) 个(DE) 事(Na) 。(PERIODCATEGORY) 	將(P) 啞巴(Na) 稱為(VG) 啞狗(A) 是(SHI) 很(Dfa) 沒(VJ) 教養(Na) 的(DE) 事(Na) 。(PERIODCATEGORY)
被告(Na) 分(P) 法官(Na) 問到(VE) 啞口無言(VH) 。(PERIODCATEGORY) 	被告(Na) 被(P) 法官(Na) 問到(VE) 啞口無言(VH) 。(PERIODCATEGORY)
屋仔(Na) 租(VD) 人(Na) 愛(D) 收(Na) 押金(Na) 。(PERIODCATEGORY) 	房子(Na) 租給(VD) 人家(Na) 要(D) 收(Na) 押金(Na) 。(PERIODCATEGORY)
鴨蛋(Na) 比(P) 雞蛋(Na) 大(VH) 一(Neqa) 些(PERIODCATEGORY) 	鴨蛋(Na) 比(P) 雞蛋(Na) 大(VH) 一些(Neqa) 。(PERIODCATEGORY)
有(V_2) 盡多(Neqa) 隻(Nf) 鴨仔(Na) 在(P) 陂塘(Nc) 肚(Ncd) 泅水(VA) 。(PERIODCATEGORY) 	有(V_2) 很多(Neqa) 隻(Nf) 鴨子(Na) 在(P) 池塘(Nc) 裡(Ncd) 游泳(VA) 。(PERIODCATEGORY)
鴨肉(Na) 當(Dfa) 好食(VH) 。(PERIODCATEGORY) 	鴨肉(Na) 很(Dfa) 好吃(VH) 。(PERIODCATEGORY)
吾(Nh) 老弟(Na) 轉(VH) 骨(VH) 了(T) ，(COMMACATEGORY) 講話(VA) 　(DE) 像(Na) 鴨(VG) 　(DE) 公(VH) 聲(Di) 。(PERIODCATEGORY) 	我(Nh) 弟弟(Na) 發育(VH) 成年(VH) 了(T) ，(COMMACATEGORY) 講話(VA) 的(DE) 聲音(Na) 變(VG) 得(DE) 粗濁(VH) 起來(Di) 。(PERIODCATEGORY)
現在(Nd) 的(DE) 學生(Na) 讀(VA) 書壓(Na) 力(Dfa) 很(VH) 大(PERIODCATEGORY) 	現在(Nd) 的(DE) 學生(Na) 讀書(VA) 壓力(Na) 很(Dfa) 大(VH) 。(PERIODCATEGORY)
中共(Nb) 用(P) 武力(Na) 壓制(VC) 天安門(Nc) 事件(Na) 。(PERIODCATEGORY) 	中共(Nb) 用(P) 武力(Na) 壓制(VC) 天安門(Nc) 事件(Na) 。(PERIODCATEGORY)
柔道(Na) 有(V_2) 一(Neu) 種(Nf) 壓制(VC) 个(DE) 動作(Na) 。(PERIODCATEGORY) 	柔道(Na) 有(V_2) 一(Neu) 種(Nf) 壓制(VC) 的(DE) 動作(Na) 。(PERIODCATEGORY)
唉(I) 哦(I) ！(EXCLAMATIONCATEGORY) 你(Nh) 仰會(D) 恁(D) 慶(VH) ？(QUESTIONCATEGORY) 	哎(I) 唷(I) ！(EXCLAMATIONCATEGORY) 你(Nh) 怎會(D) 這麼(D) 厲害(VH) ？(QUESTIONCATEGORY)
透(Neqa) 日(Nf) 唉唉唧唧(VA) ！(EXCLAMATIONCATEGORY) 毋知(D) 　(VC) 做麼(Nep) 个(Na) ？(QUESTIONCATEGORY) 	整(Neqa) 天(Nf) 哀聲嘆氣(VA) ！(EXCLAMATIONCATEGORY) 不知(D) 搞(VC) 什麼(Nep) 鬼(Na) ？(QUESTIONCATEGORY)
這(Nep) 儕(Nf) 人(Na) 生來(D) 　(P) 已(Na) 矮(Dfa) 細(VH) 。(PERIODCATEGORY) 	這(Nep) 個(Nf) 人(Na) 生來(D) 就(P) 身材(Na) 很(Dfa) 短小(VH) 。(PERIODCATEGORY)
細人仔(Na) 坐(VA) 　(VH) 矮凳(Na) 仔較(Dfa) 安全(VH) 。(PERIODCATEGORY) 	小孩子(Na) 坐(VA) 小(VH) 板凳(Na) 比較(Dfa) 安全(VH) 。(PERIODCATEGORY)
長(VC) 得(DE) 矮(VH) 胖(DE) 的(Na) 人(Dfa) 　(V_2) 較有(Na) 耐(PERIODCATEGORY) 	長(VC) 得(DE) 矮胖(VH) 的(DE) 人(Na) 較(Dfa) 有(V_2) 耐力(Na) 。(PERIODCATEGORY)
該(Nep) 矮(Nf) 古董(Na) 盡(Dfa) 有(V_2) 學問(Na) 。(PERIODCATEGORY) 	那(Nep) 個(Nf) 矮子(Na) 很(Dfa) 有(V_2) 學問(Na) 。(PERIODCATEGORY)
人(Nh) 講(VE) 矮人(Na) 多(VH) 心事(Na) ，(COMMACATEGORY) 你(Nh) 信(VK) 無(T) ？(QUESTIONCATEGORY) 	人家(Nh) 說(VE) 矮人(Na) 多(VH) 心機(Na) ，(COMMACATEGORY) 你(Nh) 信(VK) 嗎(T) ？(QUESTIONCATEGORY)
醃(VC) 瓜(DE) 　(Na) 仔(Na) 	醃漬(VC) 的(DE) 越(Na) 瓜(Na)
頭擺(Nd) 專門(VL) 用(P) 醃缸(Na) 裝(VC) 鹹菜(Na) 。(PERIODCATEGORY) 	以前(Nd) 專門(VL) 用(P) 醃缸(Na) 裝(VC) 鹹菜(Na) 。(PERIODCATEGORY)
這(Nep) 條(Nf) 醃瓜(VC) 皮(Dfa) 很(VH) 厚(COMMACATEGORY) ，(Dfa) 　(VH) 很(VC) 難(PERIODCATEGORY) 	這(Nep) 條(Nf) 醃瓜皮(VC) 很(Dfa) 厚(VH) ，(COMMACATEGORY) 很(Dfa) 難(VH) 削(VC) 。(PERIODCATEGORY)
醬瓜(Na) 　(Dfa) 很(VH) 脆(PERIODCATEGORY) 	醬瓜(Na) 很(Dfa) 脆(VH) 。(PERIODCATEGORY)
恁大(Dfa) 个(VH) 事(DE) 情(Na) ，(COMMACATEGORY) 無法度(VH) 掩磡(VC) 。(PERIODCATEGORY) 	這樣(Dfa) 大(VH) 的(DE) 事(Na) ，(COMMACATEGORY) 沒法子(VH) 隱匿(VC) 。(PERIODCATEGORY)
這(Nep) 小孩(Na) 子喜(VK) 歡(VA) 趴(Di) 著(VA) 睡(PERIODCATEGORY) 	這(Nep) 小孩子(Na) 喜歡(VK) 趴(VA) 著(Di) 睡(VA) 。(PERIODCATEGORY)
天色(Na) 看起來(D) 暗(Dfa) 暗(VH) ，(COMMACATEGORY) 怕(D) 會(D) 落雨(VA) 囉(Di) 。(EXCLAMATIONCATEGORY) 	天色(Na) 看起來(D) 很(Dfa) 暗(VH) ，(COMMACATEGORY) 恐怕(D) 會(D) 下雨(VA) 了(Di) ！(EXCLAMATIONCATEGORY)
佢(Nh) 昨(Nd) 暗晡(Nd) 去(D) 看(VC) 電影(Na) 。(PERIODCATEGORY) 	他(Nh) 昨天(Nd) 晚上(Nd) 去(D) 看(VC) 電影(Na) 。(PERIODCATEGORY)
通過(VC) 暗窿(Na) 請(VF) 細義(VK) 。(PERIODCATEGORY) 	通過(VC) 隧道(Na) 請(VF) 小心(VK) 。(PERIODCATEGORY)
愛講(VH) 罔講(VE) ，(COMMACATEGORY) 佢(Nh) 無可能(D) 暗(D) 算(VC) 人(VC) 。(PERIODCATEGORY) 	隨便(VH) 說說(VE) ，(COMMACATEGORY) 他(Nh) 不可能(D) 暗中(D) 設計(VC) 害人(VC) 。(PERIODCATEGORY)
暗(Nd) 晡夜(Nd) ，(COMMACATEGORY) 你(Nh) 有閒(VH) 無(T) ？(QUESTIONCATEGORY) 	今天(Nd) 晚上(Nd) ，(COMMACATEGORY) 你(Nh) 有空(VH) 嗎(T) ？(QUESTIONCATEGORY)
仰(D) 會(D) 暗摸胥(VH) 疏(T) ？(QUESTIONCATEGORY) 係(SHI) 毋(D) 係(SHI) 停電(VH) 　(T) ？(QUESTIONCATEGORY) 	怎麼(D) 會(D) 黑漆漆(VH) 的(T) ？(QUESTIONCATEGORY) 是(SHI) 不(D) 是(SHI) 停電(VH) 了(T) ？(QUESTIONCATEGORY)
在(P) 公園(Nc) 隨意(VH) 摘花(VC) 會(D) 　(P) 被(VF) 罰(PERIODCATEGORY) 	在(P) 公園(Nc) 隨意(VH) 摘花(VC) 會(D) 被(P) 罰(VF) 。(PERIODCATEGORY)
坐(VA) 恁(Dfa) 久(VH) 了(T) ，(COMMACATEGORY) 企起來(VA) 　(VH) 拗拗腰(D) 。(PERIODCATEGORY) 	坐(VA) 很(Dfa) 久(VH) 了(T) ，(COMMACATEGORY) 站起來(VA) 彎(VH) 一彎腰(D) 。(PERIODCATEGORY)
毋(D) 堵好(VK) 就(D) 摎(P) 借來(VD) 个(DE) 尺(Na) 拗(VC) 斷忒(VH) 了(T) 。(PERIODCATEGORY) 	不(D) 小心(VK) 就(D) 把(P) 借來(VD) 的(DE) 尺(Na) 折(VC) 斷掉(VH) 了(T) 。(PERIODCATEGORY)
莫(D) 動啊著(D) 就(D) 同(P) 人(Na) 詏嘴(VA) 。(PERIODCATEGORY) 	不要(D) 動不動(D) 就(D) 和(P) 人(Na) 爭吵(VA) 。(PERIODCATEGORY)
阿姆(Na) 需要(VK) 背(P) 帶(Na) ，(VC) 來(COMMACATEGORY) 背(D) 細(VC) 人仔(Na) 。(PERIODCATEGORY) 	媽媽(Na) 需要(VK) 用(P) 背(Na) 帶(VC) ，(COMMACATEGORY) 來(D) 背(VC) 小孩(Na) 。(PERIODCATEGORY)
無(VJ) 飯(Na) 食(VC) ，(COMMACATEGORY) 將就(D) 背(VG) 家濟(Na) 仔(P) 同(Na) 人(VA) 分(Na) 。(PERIODCATEGORY) 	沒(VJ) 飯(Na) 吃(VC) ，(COMMACATEGORY) 只好(D) 當(VG) 乞丐(Na) 向(P) 人(Na) 要(VA) 飯(Na) 。(PERIODCATEGORY)
這(Nep) 擺(Nf) 个(DE) 考試(Na) ，(COMMACATEGORY) 𠊎(Nh) 當(Dfa) 有(V_2) 把握(Na) 。(PERIODCATEGORY) 	這(Nep) 次(Nf) 的(DE) 考試(Na) ，(COMMACATEGORY) 我(Nh) 很(Dfa) 有(V_2) 把握(Na) 。(PERIODCATEGORY)
四方八面(Ncd) 	四面八方(Ncd)
下(Nd) 晝𫣆(Nh) 就(D) 在(P) 山(Na) 項(Ncd) 个(DE) 八角亭(Na) 見面(VA) 。(PERIODCATEGORY) 	下午(Nd) 我們(Nh) 就(D) 在(P) 山(Na) 上(Ncd) 的(DE) 八角亭(Na) 見面(VA) 。(PERIODCATEGORY)
佢(Nh) 䟘床(VA) 撥開(VC) 眠帳(Na) ，(COMMACATEGORY) 跋腳就走(VA) 。(PERIODCATEGORY) 	他(Nh) 起床(VA) 撥開(VC) 蚊帳(Na) ，(COMMACATEGORY) 拔腿就跑(VA) 。(PERIODCATEGORY)
手巾(Na) 拔(VC) 著(P) 凳仔(Na) 項(Ncd) 。(PERIODCATEGORY) 	毛巾(Na) 掛(VC) 在(P) 凳子(Na) 上(Ncd) 。(PERIODCATEGORY)
出門(VA) 前(Ng) 分(P) 一(Neu) 通(Nf) 電話(Na) 拔(VC) 著(Di) 。(PERIODCATEGORY) 	出門(VA) 前(Ng) 被(P) 一(Neu) 通(Nf) 電話(Na) 耽誤(VC) 了(Di) 。(PERIODCATEGORY)
分(P) 索仔(Na) 拔著(VC) 。(PERIODCATEGORY) 	被(P) 繩索(Na) 打到(VC) 。(PERIODCATEGORY)
魚尾(Na) 蹳來蹳去(VA) 。(PERIODCATEGORY) 	魚尾(Na) 擺來擺去(VA) 。(PERIODCATEGORY)
百般(Na) 頭(VA) 路(D) 起(D) 頭難(VH) 。(PERIODCATEGORY) 	各行各業(Na) 創業(VA) 都(D) 不(D) 容易(VH) 。(PERIODCATEGORY)
春天(Nd) 到(VCL) 　(Nes) 來(Nf) 百(Na) 花開(VH) 。(PERIODCATEGORY) 	春天(Nd) 來到(VCL) 各(Nes) 種(Nf) 花卉(Na) 盛開(VH) 。(PERIODCATEGORY)
星期日(Nd) 　(D) 去逛(VC) 逛百貨公(Nc) 司(PERIODCATEGORY) 	星期日(Nd) 去(D) 逛逛(VC) 百貨公司(Nc) 。(PERIODCATEGORY)
一(Neu) 樣(Nf) 米(Na) 　(VC) 畜百樣(A) 　(DE) 人(Na) 。(PERIODCATEGORY) 	一(Neu) 種(Nf) 米(Na) 養(VC) 各式各樣(A) 的(DE) 人(Na) 。(PERIODCATEGORY)
　(Na) 「(VH) 　(Ng) 做(VJ) 百(Neu) 日(Na) 」(Ng) 愛(D) 請(VF) 和尚(Na) 仔(D) 來誦(VA) 經(PERIODCATEGORY) 	人(Na) 死(VH) 後(Ng) 滿(VJ) 一百(Neu) 日(Na) 時(Ng) 要(D) 請(VF) 和尚(Na) 來(D) 誦經(VA) 。(PERIODCATEGORY)
祖父(Na) 常常(D) 會(D) 去(VCL) 伯公(Nb) 　(Nc) 家串門(VA) 子(PERIODCATEGORY) 	祖父(Na) 常常(D) 會(D) 去(VCL) 伯公(Nb) 家(Nc) 串門子(VA) 。(PERIODCATEGORY)
伯(Na) 　(Na) 公(Na) 係(SHI) 普遍(VH) 个(DE) 民間(Nc) 信仰(Na) 。(PERIODCATEGORY) 	福德(Na) 正(Na) 神(Na) 是(SHI) 普遍(VH) 的(DE) 民間(Nc) 信仰(Na) 。(PERIODCATEGORY)
阿伯(Na) 、(PAUSECATEGORY) 伯姆(Na) 兩公婆(Na) 个(DE) 感情(Na) 當(Dfa) 好(VH) 。(PERIODCATEGORY) 	伯父(Na) 、(PAUSECATEGORY) 伯母(Na) 夫妻倆(Na) 的(DE) 感情(Na) 很(Dfa) 好(VH) 。(PERIODCATEGORY)
伯姆(Na) ！(EXCLAMATIONCATEGORY) 請(VF) 喊(VF) 阿華(Nb) 接(VC) 電話(Na) 。(PERIODCATEGORY) 	伯母(Na) ！(EXCLAMATIONCATEGORY) 請(VF) 叫(VF) 阿華(Nb) 接(VC) 電話(Na) 。(PERIODCATEGORY)
閒(VH) 　(DE) 閒(Na) 來(VA) 去伯公下(Nc) 行棋(VA) 、(PAUSECATEGORY) 打嘴(VA) 鼓(PERIODCATEGORY) 	空閒(VH) 的(DE) 時候(Na) 來去(VA) 土地公廟(Nc) 下棋(VA) 、(PAUSECATEGORY) 聊天(VA) 。(PERIODCATEGORY)
　(Nh) 他(Nc) 家(P) 在(Na) 山(Ncd) 上(COMMACATEGORY) ，上(VA) 去(D) 要爬(VA) 坡(PERIODCATEGORY) 	他(Nh) 家(Nc) 在(P) 山(Na) 上(Ncd) ，(COMMACATEGORY) 上去(VA) 要(D) 爬坡(VA) 。(PERIODCATEGORY)
你(Nh) 毋(D) 係(SHI) 愛(D) 睡目(VA) ？(QUESTIONCATEGORY) 仰又(D) 跋(D) 䟘起來(VA) ？(QUESTIONCATEGORY) 	你(Nh) 不(D) 是(SHI) 要(D) 睡覺(VA) ？(QUESTIONCATEGORY) 怎麼(D) 又(D) 爬起來(VA) ？(QUESTIONCATEGORY)
摎(P) 紙(Na) 擘爛(VC) 	把(P) 紙(Na) 扯爛(VC)
擘(VC) 地豆(Na) 	剝(VC) 花生(Na)
摎(P) 柑仔(Na) 擘開來(VC) 食(VC) 。(PERIODCATEGORY) 	把(P) 橘子(Na) 剝開來(VC) 吃(VC) 。(PERIODCATEGORY)
人(Na) 無(VJ) 精神(Na) 就(D) 緊擘嘴(D) 。(PERIODCATEGORY) 	人(Na) 沒有(VJ) 精神(Na) 就(D) 一直打哈欠(D) 。(PERIODCATEGORY)
佢(Nh) 因為(Cbb) 車禍(Na) 正(Da) 會(D) 跛腳(VH) 。(PERIODCATEGORY) 	他(Nh) 因為(Cbb) 車禍(Na) 才(Da) 會(D) 跛腳(VH) 。(PERIODCATEGORY)
擺拉(VC) 	擺布(VC)
排(VA) 	排隊(VA)
食齋(VA) 、(PAUSECATEGORY) 拜佛(VA) 愛(D) 誠心(VH) 。(PERIODCATEGORY) 	吃齋(VA) 、(PAUSECATEGORY) 拜佛(VA) 要(D) 誠心(VH) 。(PERIODCATEGORY)
叔婆(Na) 擐(VC) 等(Di) 牲儀(Na) 愛(D) 去(D) 拜喏(VA) 。(PERIODCATEGORY) 	叔祖母(Na) 提(VC) 著(Di) 牲禮(Na) 要(D) 去(D) 拜拜(VA) 。(PERIODCATEGORY)
請問(VE) 一下(Nd) 　(COMMACATEGORY) ，(Na) 老(P) 闆(Nc) 在(T) 　(QUESTIONCATEGORY) 	請問(VE) 一下(Nd) ，(COMMACATEGORY) 老闆(Na) 在(P) 家(Nc) 嗎(T) ？(QUESTIONCATEGORY)
年初一(Nd) ，(COMMACATEGORY) 親戚(Na) 朋友(Na) 來(D) 拜年(VB) 。(PERIODCATEGORY) 	大年初一(Nd) ，(COMMACATEGORY) 親戚(Na) 朋友(Na) 來(D) 拜年(VB) 。(PERIODCATEGORY)
拜託(VC) 讓(VL) 個位子(Nf) ，(COMMACATEGORY) 謝(VJ) 謝(EXCLAMATIONCATEGORY) 	拜託(VC) 讓(VL) 個位子(Nf) ，(COMMACATEGORY) 謝謝(VJ) ！(EXCLAMATIONCATEGORY)
昨晡(Nd) 下晝(Nd) ，(COMMACATEGORY) 跈(P) 等(Di) 阿姆(Na) 去(D) 拜(VC) 伯公(Nb) 。(PERIODCATEGORY) 	昨天(Nd) 下午(Nd) ，(COMMACATEGORY) 跟(P) 著(Di) 媽媽(Na) 去(D) 拜(VC) 土地公(Nb) 。(PERIODCATEGORY)
這(Nep) 間(Nf) 廟(Na) 係(SHI) 拜(VC) 觀音(Nb) 个(T) ，(COMMACATEGORY) 香火(Na) 當盛(VH) 。(PERIODCATEGORY) 	這(Nep) 間(Nf) 廟(Na) 是(SHI) 拜(VC) 觀音(Nb) 的(T) ，(COMMACATEGORY) 香火(Na) 鼎盛(VH) 。(PERIODCATEGORY)
新娘(Na) 正(Da) 入門(VCL) ，(COMMACATEGORY) 愛(D) 先(D) 拜(VC) 阿(Nd) 公婆(Na) 。(PERIODCATEGORY) 	新娘(Na) 才(Da) 進門(VCL) ，(COMMACATEGORY) 要(D) 先(D) 祭拜(VC) 歷代(Nd) 祖先(Na) 。(PERIODCATEGORY)
這(Nep) 儕(Nf) 人(Na) 無(VJ) 麼个(Nep) 缺點(Na) ，(COMMACATEGORY) 般般(Neqa) 好(VH) 。(PERIODCATEGORY) 	這(Nep) 個(Nf) 人(Na) 沒(VJ) 什麼(Nep) 缺點(Na) ，(COMMACATEGORY) 樣樣(Neqa) 好(VH) 。(PERIODCATEGORY)
