一下仔 Dd
一下手 Dd
一下按呢 Dk
一丹好 VH
一久仔 Dd
一停仔 Na
一半日 Nd
一嘴氣 Na
一四界 Dg
一夥 Nf
一字平 VH
一家一家 Dh
一寡 Ne
一寡仔 Ne
一寸仔 Df
一對時 Na
一尾 Nd
一屑仔 Ne
一庀仔 Df
一度好 VH
一所在 Dg
一掃空 VH
一搭 Nc
一日一日 Dd
一是一二是二 VH
一時仔 Dd
一晡久 Na
一暫仔 Na
一枝香 Nb
一條根 VH
一步取 Na
一氣 Na
一流水 VH
一爿 Nc
一片帆 VH
一疕仔 Df
一痎 VH
一盡 Da
一目 Na
一目nih Na
一目仔 Na
一目瞬 Na
一直到 P1
一睏 Dd
一睏仔 Dd
一睏手 Na
一筆成 VH
一粒一 VH
一絲仔 Df
一緊 Dh
一腹火 Na
一輒久 Nd
一輒仔久 Na
一陣仔 Na
一霎仔 Dd
一點仔 Na
一點點仔 Da
丁字尺 Na
七仔 Na
七仔科 Na
七孔 Na
七寸金 Na
七巧圖 Na
七捏八捏 VC
七星鱸 Na
七講八講 VA
丈人爸 Na
丈姆 Na
三lian2車 Na
三不等 VH
三八嘴 Na
三八氣 Nf
三八赤 VH
三叉草 Na
三堡三 Na
三巴壟 Nc
三把車 P0
三支手 Na
三斑搖 Dh
三日新 VH
三更暝半 Nd
三牲胚 Na
三牲頭 VA
三生 Na
三番五覆 Dd
三碗飯 VA
三節六蹺 VH
三節曲 VA
三節蹺 VA
三線路 Nc
三腳tu VA
三腳丁 Na
三腳弓 VA
三腳株 VA
三腳砧 Na
三腳虎 Na
三腳馬 Na
三色 Na
三花 Na
三葉酸 Na
三藍 Na
三角梅 Na
三角目 VJ
三角肩 Dh
三角花 Na
三角薸 VH
三讀會 Na
三軍總醫院 Nc
三隻手 Na
三齣頭 Na
上sian VH
上丁 VH
上儕 Db
上加 Db
上北 VA
上取 VC
上墓 VA
上好勢 Ne
上少 Db
上尾 Nd
上尾手 Nd
上崎 VA
上店窗 VA
上後壁 Nd
上後腳 VA
上教 VI
上早 Dd
上春 Nd
上格 VH
上樣 VH
上正 VH
上歲頭 VH
上殕 VH
上溡 VH
上無 Db
上煞尾 Nd
上疆 Na
上目 b
上範 VH
上腳 VA
上至少 Da
上菜市 VH
上落 VA
上蓋儕 Da
上蓋近 Nd
上諓 VA
上路尾 Nd
上近 Nd
上運 Nd
上門娶 VB
上陸 VA
上頭仔 Dd
下choh VH
下kiuN Na
下一腳 VA
下世人 Nd
下仔 Nf
下力 VA
下勢風 Na
下勻 Na
下半暝 Dd
下南 VC
下司 Na
下命 VH
下命令 VE
下幫 Nf
下底 Nc
下底衫 Na
下後手 VC
下心神 VA
下性命 VH
下搗 Nf
下斗 Na
下斗鬚 Na
下旁 Nc
下日 Dd
下昏 Nd
下昏暗 Nd
下昏暝 Nd
下昏頓 Na
下昏飯 Na
下晝 Nd
下晝時 Nd
下晝晡 Nd
下晝頓 Na
下晝飯 Na
下晡 Nd
下晡時 Nd
下暗 Nd
下本 VR
下格 Na
下梢 VH
下橈 VA
下港 Nc
下肥 VB
下腳 Nh
下腳手 Na
下腳裾 Na
下腹仔 Na
下腿 Na
下船 VA
下色 VB
下裾 Na
下貨 Na
下賂 VC
下輩 Na
下遊 VH
下過 Nd
下重 VH
下錠 VH
下願 VA
不三似兩 VH
不三時 Dd
不八不七 VH
不女仔 Na
不存天 VH
不孝囝 Na
不常在 Cb
不廉 VH
不廉嘴 VH
不情 VH
不意中 Na
不接一 VC
不止仔 Df
不止是 Da
不死鬼 Na
不渡 VB
不目 VR
不直 VH
不管時 Dd
不而過 Da
不良份子 Na
不良少年 Na
不見天 Na
不離匙 Dd
丑仔 Na
丑旦 Na
丑腳 Na
世俗事 Na
世俗人 Na
世家底 Na
世景 Na
世界潮流 Na
世貿中心 Nc
丘薸 VH
丟丟 Dd
並出 VH
並無 Dd
中中仔 A
中人 Na
中人禮 Na
中人錢 Na
中剸 Nc
中原大學 Nc
中國商銀 Nc
中國文化大學 Nc
中國石油公司 Nc
中國醫藥學院 Nc
中央信託局 Nc
中央圖書館 Nc
中央大學 Nc
中央標準局 Nc
中央銀行 Nc
中央集權 Na
中套仔 A
中套仔人 Da
中宵 Nd
中山大學 Nc
中心人物 Na
中扮 A
中斑 Na
中晝 Na
中晝前 Nd
中晝崎 Nd
中晝後 Nd
中晝心 Nd
中晝頓 Na
中晝飯 Na
中東國家 Na
中東地區 Nc
中梁 Na
中楹 Na
中欄 e 
中正紀念堂 Nc
中燈 Na
中營 Na
中爪 Na
中站 Nc
中範 A
中脊 Na
中脊梁 Na
中脊楹 Na
中興大學 Nc
中華文化 Na
中齒 Na
串仔 Na
串口供 VA
串牙 Na
串芽 VA
串透 VJ
串過 VC
丸仔 Na
丹桂 Na
丹疽 Na
主婚 VB
主心定 Na
主決 VB
主盤 VC
主禮人 Na
主頭 Na
久來 Dd
久年 VA
久年冤 Na
久年病 Na
久年願 Na
久耐 VH
久見 VH
久長冤 Na
久長病 Na
久長雨 Na
之鑽 VC
之龜力 Na
乏乏 VH
乏制 VJ
乏水 Na
乏窩 VH
乖旋 VH
乖癖 VH
乖眠 Na
乖育育 VH
乖著 VR
乖螺 VH
乘歹 VR
乘虔 VA
乜人 Nh
乜代 VA
九八人 Na
九冬十月 VH
乞個 Na
乞的 VC
乞雨 VA
乞食仙 Na
乞食症 Na
乞食相 VH
乞食骨 Na
也就是 VG
也就是講 Dk
也捌 Dd
也敢 Db
乳瓜 Na
乾了 VJ
乾凋 Da
乾凋有 Db
乾呃 VA
乾嗽 VA
乾焦chhoah VH
乾燥機 Na
乾燥燥 VH
乾竭 VH
乾證 Na
乾鬆 VH
亂chong5 VC
亂ioh VE
亂sa VC
亂sahN VC
亂tan3 VC
亂主來 Dh
亂主吵 VA
亂主說 VA
亂主講 VA
亂使 VA
亂使來 VA
亂使創 VC
亂使想 VA
亂使用 VC
亂使講 VA
亂使變 VC
亂使鬧 VA
亂創 VC
亂嗤吵 VH
亂嘈嘈 b
亂子來 VH
亂惝 b
亂戽 b
亂捏 VA
亂操操 VH
亂攪吵 VA
亂皂 VA
亂絞絞 VH
亂臆 VE
亂茹 VA
亂諍 VA
亂販 VC
亂鐘 Na
亂馬馬 b
亂鬧 VA
了傢伙 VH
了嘴 Di
了家仔 Na
了家囝 Na
了尾 Nc
了局 VH
了工 Di
了徹 VH
了截 VH
了捷 VH
了本 VH
了盡 VH
了神 VH
了腳手 VH
了解著 VR
了錢 VA
了離 VC
了鳥囝 Na
了鳥胚 Na
予人招 VA
予人罵 VB
事因 Na
事尾 Na
二九下昏 Nd
二九暗 Nd
二九暝 Nd
二四猛 Dd
二指 Na
二撇鬚 Na
二比 Nh
二藍 Na
二路貨 Na
二部制 Na
云衫 Na
互不侵犯 VA
互不相讓 VA
互人招 VA
五仁 VH
五代孫 Na
五凍 VH
五官端正 VH
五屜桌 Na
五彩虹 Na
五支鬚 VH
五斂子 Na
五日節 Nd
五更早 Nd
五更時 Nd
五月節 Nd
五月艾 Na
五服 Na
五服外 Na
五服親 Na
五根草 Na
五爪龍 Na
五皮 VH
五竭 VH
五總頭 Nc
五腳 Na
五腳梨 Na
五腳記 Nc
五色人 Na
五虎利 Na
五言絕 Na
五路 Dg
井邊草 Na
亞東關係協會 Nc
亞鉛 Na
亞鉛板 Na
亞鉛線 Na
亞鉛鉼 Na
亞鉛鐵 Na
亡國奴 Na
交仗 VD
交參 VA
交含 Dh
交唅 VH
交定 VC
交崙 Dh
交怙 VD
交懍恂 VA
交拼 Na
交換手 VA
交摻 VJ
交攙 VC
交數 VA
交春 Nd
交枝連 Na
交椅the Na
交盤 VC
交睡 VH
交秋 Nd
交絞 VA
交繚 Na
交聊 VA
交落 VR
交落水 Na
交落胎 VH
交落身 VA
交葛 VH
交起去 VR
交輦覆 VA
交通大學 Nc
交針釘 VH
交銜 VH
交陪 VA
交陰 VH
亥在 VH
亦是 Ca
亭仔 Na
人乾 Na
人去公園 Na
人命案 Na
人客伴 Na
人客官 Na
人客廳 Nc
人客房 Na
人客間 Na
人家人 Na
人家厝 Na
人巴 Na
人情話 Na
人懶懶 VH
人扮 Na
人望 Na
人款 Na
人殼 Na
人疊人 VH
人癖 Na
人看人 VH
人眾 Nh
人眾眾 Na
人胚 Na
人胞 Na
人豚仔 Na
人踏人 VH
人車 Na
人頭殼 Na
人頭生 VH
人額 Na
人颼 Dh
人鵠 Na
仁仁仁 VH
仁仔粕 b
仁仔餅 Na
仁愛醫院 Nc
仁粕 Na
仃 b
仆耳孔 VA
今仔再 Nd
今仔日 Nd
今仔早起 Nd
今仔載 Nd
今暗 Nd
介懷 VK
他項 Nf
付數 VA
付現金 VA
仙人凍 Na
仙人草 Na
仙公 VA
仙古 Na
仙尪仔 Na
仙巴掌 Na
仙拚仙 VA
仙鼠 Na
仝一樣 A
仝時 Dd
仝款 A
仝號 VH
仝行 Na
仝輩 VI
仝途 VI
仝類 VH
仡 VA
代先 Dd
代起先 Dd
令堂 Nh
令姊 Nh
以太 Nb
以早 Nd
以此 Dh
仵作 Na
任算be7了 VH
仿仔 Na
伏拜 VC
伏膿 VH
伐過 VC
休字 Na
休書 Na
伯公祖 Na
伯姆 Na
伯婆 Na
估價單 Na
伴壇 VJ
伴嫁 Na
伴房 VA
伴膽 VB
伶利 VH
伸lun5 VA
伸勻 VA
伸勼 VA
伸圇 VA
伸的 Ne
伸筋草 Na
伸腳 VA
伸長手 VD
伽藍鳥 Na
但使 Cb
但有 Cb
佈搭 VC
位ti7 VJ
低nah A
低厝仔 Na
低湖 VH
低窩 VH
低路 Na
低路司 Na
低路貨 A
佔大 VH
佔柱 VA
佔權 VH
佔著 VR
佔贏 VI
佔開 VR
佔風頭 VI
何乜苦 Dj
何得而苦 Dj
何得苦 Dj
何必苦 Dj
佗位 Nc
佗落 Db
佛仔 Na
佛仔土 Na
佛仔生 Nd
佛字 Na
佛宮 Nc
佛廟 Nc
佛手瓜鬚 Na
佛祖生 VA
佛骨 Na
作對頭 VB
作彩 VA
作暗號 VE
作譴 VA
你兄我弟 VA
你那坐 Cb
佩命 VH
佩性命 VH
佩甲 Na
佩紅 Na
佩衫 VC
佩風 Na
佬仔 Na
佬仔指 Na
佬仔步 Na
佮線 VC
佮色 VA
佳哉 Db
佳在無 Db
佳落哉 Db
佻弄 VH
使be7行 VH
使be7走 VH
使in娘 I
使倨 VH
使勢 Dh
使勢頭 Dh
使唆 VR
使嘴撮 VA
使嘴花 VA
使土地 VA
使尻川 VB
使後栓 VF
使得過 VH
使徛目 VH
使性 VA
使性地 VA
使性搦地 VA
使手路 VA
使拒 VH
使暗箭 VA
使暗路 VC
使替 VB
使替包 VB
使橫 VA
使歹 VA
使歹譜 VA
使派 VA
使畚 VC
使癖 VA
使目尾 VA
使目箭 VA
使目色 VA
使目角 VH
使硬鼻 VH
使翸用 VC
使蕩 VF
使褪包 VB
使覆手 VA
使見色 VH
使話抵 VA
使話栓 VA
使賂 VB
使過面 VH
使過馬 VH
使驚 VL
使體 VA
侄仔 Na
來hou7伊 Dh
來去倒 Db
來去轉 VC
來批 VA
來歷不明 VH
例案 Na
供口供 VB
供投 VA
供端 VC
供體 VC
依倚 VA
依原 Dd
依聿 VA
侮弄 VC
侵人錢 VH
侵債 VH
侵取 VC
侵欠 VD
侵用 VC
侵略者 Na
便套藥 Na
便套飯 Na
便所紙 Na
便橋 Na
便看 VA
便若 Cb
便菜飯 Na
便藥 Na
便衫 Na
便貨 Na
係項 Na
促倚 VC
促就 VJ
促歲壽 VB
促死人 VH
促減 VC
促短 VR
促糟 VH
促細 VH
促耳 VH
促近 VC
促馬勢 VA
俄羅 Nc
俄羅斯共和國 Nc
俏綠 VH
俏色 Na
俐 b
俗phang2 Na
俗例 Na
俗價 A
俗掔 VK
俗癖 VK
俗語話 Na
俗語講 Dk
俗貨 Na
俗賣 VD
俗醫 Na
保be7-tiau5 VR
保家單 Na
保家燈 Na
保惜 VJ
保溫罐 Na
保胎 VA
保認 VE
保身符 Na
保領 VC
信憑 Na
信篤篤 VI
信聖 VJ
信號彈 Na
信袋 Na
信錯 VK
信魚 Na
修削 VC
修齊 VR
俺伯 Na
俺公 Na
俺叔 Na
俺姐 Na
俺姑 Na
俺娘 Na
俺媽 Na
俺媽體 VH
俺嬸 Na
俺祖 Na
俺細的 Na
倉碰 VH
倉磅 VH
倌 Na
倒來 VA
倒侵 VJ
倒倒 VB
倒剃 VC
倒削 VC
倒勼 VD
倒反 VA
倒反照 VJ
倒反行 Na
倒問 VE
倒坐罪 VA
倒少年 VH
倒床 VA
倒彈 VB
倒房 VH
倒手 Na
倒拋 VA
倒插筆 VC
倒換 VC
倒揜 VA
倒摳 VC
倒擔 VH
倒攄 VA
倒攄車 VA
倒斡 VA
倒案 VH
倒椅 Na
倒泍風 Na
倒激 VA
倒照 VJ
倒照影 Na
倒照日 Na
倒爿 Nc
倒祖 VA
倒祧 VH
倒笑天 VA
倒翻箍 VC
倒翻頭 VA
倒聲 VH
倒腳 Na
倒袒平 VR
倒袒笑 VA
倒路站 Nc
倒踏蹬 VC
倒踏錢 Na
倒轉來 VA
倒轉去 VR
倒退車 VA
倒運 Na
倒離離 VH
倒青春 VH
倒面 Nc
倒頭唸 VI
倒頭栽 Na
倒頭流 VA
倒頭行 Na
倒頭訕 VC
候下 VC
候價 VH
候等 VK
候脈 VB
候駕 VA
倚並 VC
倚倚 VC
倚偏邊 VH
倚傍 VC
倚勢 Dh
倚岸 VC
倚帶 VJ
倚年 Nd
倚意 VH
倚按 VC
倚晝 Nd
倚暗 Nd
倚樣 P4
倚欲 Ne
倚歸爿 VH
倚海 Nc
倚理 VH
倚街 Dg
倚身 VC
倚近 P1
倚邊 Dg
倚食 VA
借khia7 VC
借toa3 VC
借單 Na
借嘴 VA
借字 Na
借帶 VC
借徛 VC
借歇 VC
借詞 Na
借話 VA
倡頭 VA
倩人 VC
倩工 VF
倩的 VA
倩船 b
倩車 VA
倯teh-teh b
倯氣 VH
值代 Na
值大代 Na
值日官 Na
偃sak VC
