台語漢字,pos_h
一下子,Na
一下手,Dd
一下按呢,Dk
一丹好,VH
一久仔,Dd
一停仔,Na
一則,Cb
一勞永逸,VH
一半日,Nd
一味,Dh
一嘴氣,Na
一夥,Nf
一字平,VH
一家一家,Dh
一寸仔,Df
一尾,Nd
一己,A
一席之地,Na
一帶,Ng
一年半載,Nd
一庀仔,Df
一度好,VH
一廂情願,VH
一意孤行,VA
一應俱全,VH
一所在,Dg
一手,Nf
一技之長,Na
一掃空,VH
一掃而空,VH
一搭,Nc
一方面,Cb
一旁,Nc
一日一日,Dd
一早,Dd
一是一二是二,VH
一時之間,Dd
一晡久,Na
一暫仔,Na
一月,Nd
一朝,Dd
一枝獨秀,VH
一枝香,Nb
一條根,VH
一樣,Da
一步取,Na
一氣,Na
一氧化碳,Na
一波三折,VH
一派胡言,Na
一流水,VH
一炮而紅,VH
一無所知,VI
一爿,Nc
一片帆,VH
一痎,VH
一盡,Da
一目,Na
一目nih,Na
一目了然,VH
一目仔,Na
一目瞬,Na
一直到,P1
一睏,Dd
一睏手,Na
一知半解,VH
一筆勾銷,VB
一筆成,VH
一等一,Na
一籌莫展,VH
一統,VC
一絲不掛,VH
一網打盡,VB
一緊,Dh
一腹火,Na
一臂之力,Na
一致性,Na
一舉,Dh
一般性,Na
一落千丈,VH
一視同仁,VB
一覽表,Na
一角,Nc
一觸即發,VH
一言不合,VH
一言堂,Nc
一語,Na
一路上,Dg
一蹶不振,VH
一輒久,Nd
一輒仔久,Na
一陣,Na
一陣仔,Na
一霎仔,Dd
一面倒,VH
一頭霧水,VH
一馬當先,VA
一鳴驚人,VH
一點點仔,Da
丁字尺,Na
丁香,Na
七仔,Na
七仔科,Na
七寸金,Na
七巧圖,Na
七彩,Na
七捏八捏,VC
七星鱸,Na
七美,Nc
七色,Na
七講八講,VA
七里香,Na
丈夫,Na
三lian2車,Na
三不等,VH
三不管,A
三令五申,VE
三光,Na
三八嘴,Na
三八赤,VH
三十,Ne
三叉草,Na
三合,Na
三商銀,Nc
三堡三,Na
三壘手,Na
三字經,Na
三峽,Nc
三巴壟,Nc
三思而行,VA
三把車,P0
三支手,Na
三斑搖,Dh
三日新,VH
三星,Nb
三更暝半,Nd
三牲胚,Na
三牲頭,VA
三生,Na
三番五覆,Dd
三白,Na
三碗飯,VA
三節六蹺,VH
三節曲,VA
三節蹺,VA
三級跳,VA
三總,Nc
三腳tu,VA
三腳丁,Na
三腳仔,Na
三腳弓,VA
三腳架,Na
三腳株,VA
三腳砧,Na
三腳虎,Na
三腳貓,Na
三腳馬,Na
三色,Na
三芝,Nc
三花,Na
三葉酸,Na
三藍,Na
三角形,Na
三角梅,Na
三角目,VJ
三角花,Na
三角薸,VH
三讀會,Na
三軍總醫院,Nc
三輕,Nc
三部曲,Na
三重市,Nc
三隻手,Na
三齣頭,Na
上sian,VH
上丁,VH
上位,Nc
上來,VA
上儕,Db
上元節,Nd
上去,VA
上取,VC
上品,Na
上好勢,Ne
上尉,Na
上尾手,Nd
上床,VA
上店窗,VA
上後壁,Nd
上後腳,VA
上早,Dd
上春,Nd
上格,VH
上樓,VA
上樣,VH
上正,VH
上歲頭,VH
上海,Nc
上海市,Nc
上溡,VH
上煞尾,Nd
上片,Nf
上疆,Na
上算,VH
上範,VH
上腳,VA
上至少,Da
上船,VA
上菜市,VH
上蓋儕,Da
上蓋好,Db
上蓋近,Nd
上街,VA
上諓,VA
上路尾,Nd
上近,Nd
上運,Nd
上釣,VH
上門,VA
上門娶,VB
上陣,VA
上陸,VA
上香,VA
下choh,VH
下kiuN,Na
下一腳,VA
下仔,Nf
下任,Na
下位,Nc
下作,VH
下凡,VA
下列,Nf
下力,VA
下功夫,VA
下勢風,Na
下半身,Na
下南,VC
下命,VH
下命令,VE
下唇,Na
下墜,VA
下士,Na
下女,Na
下嫁,VC
下屬,Na
下工夫,VA
下幫,Nf
下底衫,Na
下後手,VC
