台語漢字	pos_h
a2無	
a2蛦	Na
阿炮	
啞鈴	Nc
a7好	
a7-khu2-lih	Na
a7使	Db
a7-soah是	
a7-soah有	
a7著	Db
a7有	
阿母	Na
a-bu-kha-lo	
腌臢	VH
阿叔	Na
阿嬸	Na
亞洲	Nc
阿祖	
阿給	
ah	I;Di;Ta;Tc;VJ
押	VF;VC
鴨	Na
壓	VC
押尾後	VA;VH
ah8	Nc;Dj;VH
盒	Nf
匣仔	Na
盒仔	Na;Nf
壓尺	Na
盒裝	A
壓抑	VC
壓低	VR
壓境	VA
壓板	Na;VC
ah8有che	
ah8有一個	
鴨仔囝	
鴨仔tan	
押後	VH
鴨肉	
鴨咪	Na
鴨咪仔	
鴨味	VH
壓味	
鴨母	Na
鴨母草	
鴨母樹	
鴨母珠	
益母艾	
鴨母乙	Ne
鴨母笠	Na
鴨母冇	
鴨母蹄	
押尾	VB;VH
ah未是	VH
押載	VC
鴨尺	
鴨嘴hong5	
押出	VR
鴨舌草	
鴨舌hong5	
鴨掌	Na
鴨雄	
鴨雄仔	
押匯	VA;Na;re
壓虎	
阿兄	Na
押解	VC
鴨角	
鴨公	
鴨公khiu5	Na
抑低	VC
鴨腳木	
鴨腳樹	
鴨腳掌	
鴨腳艾	
鴨腳香	
鴨腳扒	
鴨腳皮	
鴨腳稷	
鴨腳黍	
鴨腳蹄	
抑屈	VC
押金	Na
鴨kui	
押利	VC
壓籠戲	Na
鴨綠	
壓落性	VC
壓落底	VC
鴨lut仔	
鴨卵	Na
鴨卵面	Na
鴨卵青	Na;A
鴨卵青	
鴨卵形	Na
鴨巴	Na
壓霸	Na;VH
押票	Na
押標金	
押榜	VH
押送	VC
ah是	V_;Ca
押數	
鴨賞	Na
押煞	VF
鴨蹄草	
鴨蹄黍	
鴨土珠	
鴨豚仔	
押韻	VH
哀	VA;VB
噯仔	Na
愛	Db;VK;VC;VE;VJ
愛清氣	
愛pho3-tau7	
愛欲	Db;VF;VC;VE;VJ
愛面子	
愛慕	VJ
愛諍	VH
愛情	Na
愛插事	VH
愛妻	Na
愛笑	VH
愛子	Na
愛用	
愛樂	VH
愛玉仔	
愛玉子	
愛哮	
愛恨	Na
愛河	Nc
愛紅	
愛風神	VH
愛護	VC
愛用	
愛人	Nh;Na
愛人仔	Na
愛哭	
愛哭面	VH
愛哭神	
愛犬	Na
愛睏	
愛睏目	
愛睏樹	
愛睏藥	Na
愛睏鬼	
愛睏神	
愛嬌	VH
愛國	VH
愛國心	Na
愛講話	
愛顧	VJ
愛女	Na
曖昧	VH
愛不釋手	VH
愛心	Na
愛神	Nb
愛惜	VJ
愛耍	VH
愛事	
愛sui2	VH
愛戴	VJ
愛德華	Nb
愛體面	
愛thit	VH
愛展	
愛著	VR
阿姨	Na
哀哀呻	VA
哀哀hau2	VA
哀哀叫	
哀哀抽	VA
亞鉛	Na
亞鉛板	Na
亞鉛鉼	Na
阿鉛絲	Na
亞鉛線	Na
亞鉛桶	
亞鉛鐵	Na
唉呻	VA
哀榮	Na
挨餓	VA
唉呀	I
噯喲	
哀求	VF
aiN7	Na;VC;VH
aiN7巾	
哀怨	VE;VH
哀傷	VH
哀詞	Na
哀痛	VH
ai甜	
哀悼	VJ
哀慟	VH
亞熱帶	Nc
沃	VC;Nb;b
ak8仔	Na
阿及	VE
阿狗	Na
阿狗氣	VA;VH
沃喉	VA
偓促	VH
齷齪	VH
偓促火	Na
偓促熱	Na;VH
沃田	VC
