Ha-oa-ih	Nc
Ma-la2-song2	Na
Q	
Tai7-pit	Nb
a-bu-kha-lo	
a-pha2-to3	Na
a-sa2-ga2-ouh	Na
a-sa2-li3	VH
a2無	
a2蛦	Na
a7-khu2-lih	Na
a7-soah是	
a7-soah有	
a7使	Db
a7好	
a7有	
a7著	Db
aN2	VJ
aN2倚	VJ
aN2規旁	VJ
aN3前向後	VH
aN3腰	VA
aN3落來	VR
aN3落去	VA
aN3身	VA
aN3頭	VA;Dh
aN5	
aN5	VC
aN5	VJ
aN5做	
aN5閘	VC;VJ
aN5食	
ah	I;Di;Ta;Tc;VJ
ah8	Nc;Dj;VH
ah8有che	
ah8有一個	
ah是	V_;Ca
ah未是	VH
aiN7	Na;VC;VH
aiN7巾	
ai甜	
ak8仔	Na
am2	Na
am2-am2	
am2-pheh8	
am2-thong-thong	
am2湯	Na
am2湯屎	
am2滯	Na
am2漿	Na
am2濾	Na
am2糜	Na
am2糜仔	Na
am2糜花	Na
am2鼻哥	
am7	VH
am7-am7	b;VH
am7-phong7-phong7	VH
am屁	
am枚	Na
am蜅蠐	Na
an5	
an5	VH
an5	b;VH
an5-an5	Dh
an5-tauh-tauh	VH
an5-tong3-tong3	
an5-tu-tu	
an5丟丟	
an5燥	VH
an5空	VH
an5逼逼	VF
at下	VC
at價數	VA
at制	VC
at彎	VR
at手尾	
at手霸	
at折	VC
at斷	VR
at曲	VR
at條	VA
at止	VC
at王梨	VA
at秤頭	
at米糕	VB
at脈	
at阻	VC
au3	
au3-hiu2-hiu2	
au3-phu2	
au3-tu7-tu7	VH
au3古	VH
au3古車	
au3名	Na
au3娼	Na
au3客	Na
au3屎	VH
au3屎面	
au3棗	
au3漉	VH
au3綠	
au3翕	VH
au3聲	
au3肉	Na
au3腳	
au3腳	Na;VH
au3腳數	
au3腳數	Na
au3膿	Na;VH
au3膿膿	
au3臭	VH
au3貨	Na
au3風	Na;VH
au3黃	
ba2-tah	Na
ba7	VD;VC;Da;VH
ba7-chhe7	
ba7-hioh8	Na
ba7-sa3	VH
ba7搭	VH
ba7搭sa3	VH
ba7斗	VH
ba7鬥	VH
bai2	VH
bai2手	Na
bai2手仔	Na
bak	VC;VJ;VH
bak-khu3	VD;VA;Na
bak8-khu2物仔	
bak8水	VA
bak手	VC;VH
bak水	VA
bak流瘍	VC
bak濁	VC
bak著	VR;VC
bak著	VR;VC;VJ
ban3-boh	
ban7	
bang	Na;VC
bang2	VA;Na
bang3	Db;Ne
bat	VR;Dd;VK;Nf;Nb;VJ
bat事	VH
bat人	
bat代誌	VH
bat字	VA
bat寶	VH
bat想	VH
bat無夠	
bat無透	
bat芳臭	VH
bat貨	VH
bat透透	VH
bat進退	
bau2	
bau7	VC
bauh8	VC
be7	Db;VL
be7-kah	Db
be7-khat得	VH
be7-tang3	Db;VL
be7-tih8得	VH
be7使	Db;VR
be7使得	Db;VR;VL;VH
be7使無	VJ
be7使講	VH
be7免得	Db;VH
be7出聲	VH
be7合	VK
be7和	VH
be7堪	Da
be7堪leh	VK
be7堪得	VR
be7堪得	VR;VJ;VH
be7好勢	VH
be7安	VH
be7少	VH
be7少得	VJ
be7平	VH
be7度	VH
be7得赴	Dd;VJ;VH
be7得過	VR
be7心適	VH
be7怪	Db
be7怪	Db
be7怪得	Db
be7怪得	Db;VJ
be7按算	Na
be7擋得	VR;VH
be7曉	Db;VL
be7曉得	
be7曉得講	VH
be7曉歹勢	
be7止	Da
be7歹	
be7活	VR
be7爽	VH
be7生	VH
be7用	VH
be7用leh	Db;VH
be7用得	Db;VR;VH
be7用得	VH
be7直得	VH
be7缺得	VJ
be7致到	Db
be7要緊	VH
be7見笑	VH
be7記	VR;VK
be7記得	VR;VJ
be7趕得赴	VR
be7輸	VJ
be7輸teh	
be7通thau2	VH
be7過意	VR
be7離得	VR
be7靈	VH
be7靠leh	VR
be7靠得	VR
be7鬥	VH
beh	Db;Dd;VC;Cb;VE
bi	VC
bi3-luh	Na
bi3-luh肚	
bi5	VA
bi5-ta2-min2	Na
bi5-tha-min2	Na
bi7	b
bih	
bih	VA;VC
bih-chhih	VH
bih-khng3	VA
bih8	Na
bih去站	VA
bih咯雞	VA
bih嘴	VA
bih涵貓	VA
bih相找	VA;Na
bih走	VC
bih起來	
bih起來	VR
bih雄	VH
bih雨	VA
bih頷	Na
bih鬚	VA
bin2	VC
boah8	VC
boat8	Dd;Da;VJ;VH
boeh--bou3	
boeh-m7	
boeh-ni5	VA;Dj
boeh-thai2	
boeh-tih8	Db;VC;VE
boeh-to2生	
boeh倚	Ne
boeh吐	VA;VH
boeh吐boeh吐	VH
boeh按怎	VA
boeh是	Cb
boeh晝	Nd
boeh暗仔	Nd
boeh死	VH
boeh無	Cb
boeh相共	VH
boeh知	
boeh著	Cb
boeh親像	VJ
bok	VC
bok8-bok8泅	VE
bong3	b;VH
bu-la3-chia3	Na
buh8	Nf
bui目	
bun3	VC
bun5床	Na;Nf
but8	VC
chaN2	Nf
chaN2	VC
chaN7	VC
chah	VC
chah布	
chah營	
chah銃	VA
chah飯	
chaiN2	Na
chak	VF;VC;b;VH
chak-cho7	VC
chak8	VH
cham3	VC;b
cham5	VF
cham7	VR
chan2	VH
chang	VC
chang2	Na;VC;Nf
chang5	VC
chang出來	VR
chang著	VR;VC
chap8-chap8唸	VA
chat8	VC;VH
chat8氣	VH
chat8鼻	VH
che7	Ne;Da;Df;VH
che7少	Ne;Na;Da
che7底	VC;VH
che7歲	Na
che7清	VE
che7著贏	VH
che7話	VH
che7過	VJ
che7頭嘴	
cheN3嘴	VA;Na;VE
cheh8	VC;b
chek	VC;VH
