AID	role	content	number	songtablet	action	book
1	NULL	世事短如春夢	1.001	西江月	末上	荔鏡記--嘉靖
2	NULL	人情薄似秋雲	1.002	NULL	NULL	荔鏡記--嘉靖
3	NULL	不須計較苦勞心	1.003	NULL	NULL	荔鏡記--嘉靖
4	NULL	萬事自然由命	1.004	NULL	NULL	荔鏡記--嘉靖
5	NULL	公子伯卿	1.005	NULL	NULL	荔鏡記--嘉靖
6	NULL	佳人黃氏	1.006	NULL	NULL	荔鏡記--嘉靖
7	NULL	窈窕真娘	1.007	NULL	NULL	荔鏡記--嘉靖
8	NULL	因嚴親許配呆郎	1.008	NULL	NULL	荔鏡記--嘉靖
9	NULL	自登彩樓選東床	1.009	NULL	NULL	荔鏡記--嘉靖
10	NULL	卻遇陳三遊馬過	1.01	NULL	NULL	荔鏡記--嘉靖
11	NULL	荔枝拋下綠衣郎	1.011	NULL	NULL	荔鏡記--嘉靖
12	NULL	陳三會合無計	1.012	NULL	NULL	荔鏡記--嘉靖
13	NULL	學為磨鏡到中堂	1.013	NULL	NULL	荔鏡記--嘉靖
14	NULL	益春遞簡	1.014	NULL	NULL	荔鏡記--嘉靖
15	NULL	得交鸞鳳	1.015	NULL	NULL	荔鏡記--嘉靖
16	NULL	潛逃私奔，被告發遣	1.016	NULL	NULL	荔鏡記--嘉靖
17	NULL	逢伊兄運使	1.017	NULL	NULL	荔鏡記--嘉靖
18	NULL	把知州革除	1.018	NULL	NULL	荔鏡記--嘉靖
19	NULL	夫婦再成雙	1.019	NULL	NULL	荔鏡記--嘉靖
20	NULL	襟懷慷慨陳公子	1.02	NULL	NULL	荔鏡記--嘉靖
21	NULL	體態清奇黃五娘	1.021	NULL	NULL	荔鏡記--嘉靖
22	NULL	荔枝為記成夫婦	1.022	NULL	NULL	荔鏡記--嘉靖
23	NULL	一世風流萬古揚	1.023	NULL	NULL	荔鏡記--嘉靖
24	NULL	辭親赴任	2	NULL	第二出	荔鏡記--嘉靖
25	外生	寶馬金鞍，諸親迎送	2.001	粉蝶兒	NULL	荔鏡記--嘉靖
26	NULL	今旦即顯讀書人	2.002	NULL	NULL	荔鏡記--嘉靖
27	生	受敕奉宣	2.003	NULL	NULL	荔鏡記--嘉靖
28	NULL	一家富貴不胡忙	2.004	NULL	NULL	荔鏡記--嘉靖
29	NULL	舉步高堂	2.005	NULL	NULL	荔鏡記--嘉靖
30	NULL	進見椿萱	2.006	NULL	NULL	荔鏡記--嘉靖
31	外	身做運使離帝京	2.007	NULL	NULL	荔鏡記--嘉靖
32	NULL	寵受君恩當刻銘	2.008	NULL	NULL	荔鏡記--嘉靖
33	NULL	五湖四海民安樂	2.009	NULL	NULL	荔鏡記--嘉靖
34	NULL	蒼生鼓舞樂堯天	2.01	NULL	NULL	荔鏡記--嘉靖
35	生	聖學功夫惜寸陰	2.011	NULL	NULL	荔鏡記--嘉靖
36	NULL	且將無逸戒荒淫	2.012	NULL	NULL	荔鏡記--嘉靖
37	NULL	從今獻策龍門去	2.013	NULL	NULL	荔鏡記--嘉靖
38	NULL	不信無媒魏闕深	2.014	NULL	NULL	荔鏡記--嘉靖
39	外	下官姓陳，名伯延	2.015	NULL	NULL	荔鏡記--嘉靖
40	NULL	厝住泉州蓬山嶺後	2.016	NULL	NULL	荔鏡記--嘉靖
41	NULL	雙親在堂	2.017	NULL	NULL	荔鏡記--嘉靖
42	NULL	幸得一舉成名	2.018	NULL	NULL	荔鏡記--嘉靖
43	NULL	除受廣南運使	2.019	NULL	NULL	荔鏡記--嘉靖
44	NULL	敕賜劍印隨身	2.02	NULL	NULL	荔鏡記--嘉靖
45	NULL	干碍爹媽在堂	2.021	NULL	NULL	荔鏡記--嘉靖
46	NULL	不得前去赴任	2.022	NULL	NULL	荔鏡記--嘉靖
47	NULL	做侢得好	2.023	NULL	NULL	荔鏡記--嘉靖
48	生	哥R不見古人說	2.024	NULL	NULL	荔鏡記--嘉靖
49	NULL	孝於事親	2.025	NULL	NULL	荔鏡記--嘉靖
50	NULL	忠於事君	2.026	NULL	NULL	荔鏡記--嘉靖
51	NULL	盡忠不能盡孝	2.027	NULL	NULL	荔鏡記--嘉靖
52	NULL	盡孝不能盡忠	2.028	NULL	NULL	荔鏡記--嘉靖
53	NULL	爹媽在堂	2.029	NULL	NULL	荔鏡記--嘉靖
54	NULL	小弟須當伏事	2.03	NULL	NULL	荔鏡記--嘉靖
55	NULL	哥R不必得念	2.031	NULL	NULL	荔鏡記--嘉靖
56	丑	好說	2.032	NULL	NULL	荔鏡記--嘉靖
57	NULL	大人得知	2.033	NULL	NULL	荔鏡記--嘉靖
58	NULL	行李打疊便了	2.034	NULL	NULL	荔鏡記--嘉靖
59	外	見是便了	2.035	NULL	NULL	荔鏡記--嘉靖
60	NULL	請爹媽出來相辭	2.036	NULL	NULL	荔鏡記--嘉靖
61	NULL	因世起身	2.037	NULL	NULL	荔鏡記--嘉靖
62	淨	心忙來路緊喜得到泉州	2.038	NULL	NULL	荔鏡記--嘉靖
63	NULL	這里正是陳老爹門首	2.039	NULL	NULL	荔鏡記--嘉靖
64	丑	敢問：賢友貴處那里	2.04	NULL	NULL	荔鏡記--嘉靖
65	淨	小人正是廣南道承差	2.041	NULL	NULL	荔鏡記--嘉靖
66	NULL	差來接運使老爺赴任	2.042	NULL	NULL	荔鏡記--嘉靖
67	丑	尊兄立定	2.043	NULL	NULL	荔鏡記--嘉靖
68	NULL	待我稟過老爹	2.044	NULL	NULL	荔鏡記--嘉靖
69	丑介	好說	2.045	NULL	NULL	荔鏡記--嘉靖
70	NULL	大人得知	2.046	NULL	NULL	荔鏡記--嘉靖
71	NULL	外頭有一承差	2.047	NULL	NULL	荔鏡記--嘉靖
72	NULL	說是	2.048	NULL	NULL	荔鏡記--嘉靖
73	NULL	廣南道差來接老爹赴任	2.049	NULL	NULL	荔鏡記--嘉靖
74	外	放他進來	2.05	NULL	NULL	荔鏡記--嘉靖
75	NULL	承差接老爹	2.051	NULL	淨見介	荔鏡記--嘉靖
76	外	有文書沒有	2.052	NULL	NULL	荔鏡記--嘉靖
77	淨	有文書	2.053	NULL	NULL	荔鏡記--嘉靖
78	外	接上來	2.054	NULL	NULL	荔鏡記--嘉靖
79	外	這文書上	2.055	NULL	NULL	荔鏡記--嘉靖
80	NULL	還有十二名皂隸	2.056	NULL	NULL	荔鏡記--嘉靖
81	NULL	兩名吏	2.057	NULL	NULL	荔鏡記--嘉靖
82	NULL	都在那里	2.058	NULL	NULL	荔鏡記--嘉靖
83	淨	兩名吏同十二名皂隸，打水路來	2.059	NULL	NULL	荔鏡記--嘉靖
84	NULL	小的恐怕老爹起馬	2.06	NULL	NULL	荔鏡記--嘉靖
85	NULL	緊先打旱路來院，老爹	2.061	NULL	NULL	荔鏡記--嘉靖
86	外	既是這等	2.062	NULL	NULL	荔鏡記--嘉靖
87	NULL	左右送他館驛里安下	2.063	NULL	NULL	荔鏡記--嘉靖
88	NULL	明日一定起身	2.064	NULL	NULL	荔鏡記--嘉靖
89	NULL	請將爹媽出來相辭，因勢起身	2.065	NULL	末淨下外	荔鏡記--嘉靖
90	生	爹媽請請	2.066	NULL	NULL	荔鏡記--嘉靖
91	末丑	今旦仔兒卜起里	2.067	菊花新	NULL	荔鏡記--嘉靖
92	NULL	未知值日返鄉里	2.068	NULL	NULL	荔鏡記--嘉靖
93	NULL	夫妻二人老年紀	2.069	NULL	NULL	荔鏡記--嘉靖
94	NULL	仔兒卜去櫒我心悲	2.07	NULL	NULL	荔鏡記--嘉靖
95	丑	都是前世因緣湊合	2.071	NULL	NULL	荔鏡記--嘉靖
96	NULL	著伊隨夫赴任廣南	2.072	NULL	NULL	荔鏡記--嘉靖
97	NULL	真箇榮華無比	2.073	NULL	NULL	荔鏡記--嘉靖
98	末	光陰似箭歲難留	2.074	NULL	相見介	荔鏡記--嘉靖
99	NULL	日月如梭春復秋	2.075	NULL	NULL	荔鏡記--嘉靖
100	丑	但願吾兒老萊子	2.076	NULL	NULL	荔鏡記--嘉靖
101	NULL	身著斑衣五色裘	2.077	NULL	NULL	荔鏡記--嘉靖
102	末	來	2.078	NULL	NULL	荔鏡記--嘉靖
103	NULL	伯延	2.079	NULL	NULL	荔鏡記--嘉靖
104	NULL	才自是乜人在只外	2.08	NULL	NULL	荔鏡記--嘉靖
105	外介	才自是廣南道承差	2.081	NULL	NULL	荔鏡記--嘉靖
106	NULL	接仔赴任	2.082	NULL	NULL	荔鏡記--嘉靖
107	末	見是接你赴任	2.083	NULL	NULL	荔鏡記--嘉靖
108	NULL	媳婦收拾行李就時起身	2.084	NULL	NULL	荔鏡記--嘉靖
109	NULL	伯卿	2.085	NULL	NULL	荔鏡記--嘉靖
110	NULL	你送恁哥嫂到廣南任所	2.086	NULL	NULL	荔鏡記--嘉靖
111	NULL	因勢轉來厝讀書	2.087	NULL	NULL	荔鏡記--嘉靖
112	生	謹領尊命	2.088	NULL	NULL	荔鏡記--嘉靖
113	末	仔你去做官	2.089	NULL	NULL	荔鏡記--嘉靖
114	NULL	莫得貪酷百姓	2.09	NULL	NULL	荔鏡記--嘉靖
115	NULL	所望榮歸故里	2.091	NULL	NULL	荔鏡記--嘉靖
116	NULL	古人說	2.092	NULL	NULL	荔鏡記--嘉靖
117	NULL	袞袞諸公著錦袍	2.093	NULL	NULL	荔鏡記--嘉靖
118	NULL	不知民瘼半分毫	2.094	NULL	NULL	荔鏡記--嘉靖
119	NULL	頻斟美酒千人血	2.095	NULL	NULL	荔鏡記--嘉靖
120	NULL	細切肥羊百姓膏	2.096	NULL	NULL	荔鏡記--嘉靖
121	NULL	須記得	2.097	NULL	NULL	荔鏡記--嘉靖
122	NULL	這四句	2.098	NULL	NULL	荔鏡記--嘉靖
123	NULL	是大丈夫之志	2.099	NULL	NULL	荔鏡記--嘉靖
124	NULL	立身揚名	2.1	NULL	NULL	荔鏡記--嘉靖
125	NULL	以顯父母	2.101	NULL	NULL	荔鏡記--嘉靖
126	丑	新婦	2.102	NULL	NULL	荔鏡記--嘉靖
127	NULL	你去勸我仔	2.103	NULL	NULL	荔鏡記--嘉靖
128	NULL	做官善事多為	2.104	NULL	NULL	荔鏡記--嘉靖
129	NULL	惡事莫作	2.105	NULL	NULL	荔鏡記--嘉靖
130	占	媽R，尊命	2.106	NULL	NULL	荔鏡記--嘉靖
131	NULL	仔兒都記在心內	2.107	NULL	NULL	荔鏡記--嘉靖
132	末丑	我分付二仔兒	2.108	一封書	NULL	荔鏡記--嘉靖
133	NULL	只去路上著細膩	2.109	NULL	NULL	荔鏡記--嘉靖
134	NULL	去做官	2.11	NULL	NULL	荔鏡記--嘉靖
135	NULL	管百姓	2.111	NULL	NULL	荔鏡記--嘉靖
136	NULL	莫得貪酷不順理	2.112	NULL	NULL	荔鏡記--嘉靖
137	NULL	做官須著辨忠義	2.113	NULL	NULL	荔鏡記--嘉靖
138	NULL	留卜名聲乞人上史記	2.114	NULL	NULL	荔鏡記--嘉靖
139	NULL	今日相辭去	2.115	NULL	合唱	荔鏡記--嘉靖
140	NULL	值日得相見	2.116	NULL	NULL	荔鏡記--嘉靖
141	NULL	三年任滿返鄉里	2.117	NULL	NULL	荔鏡記--嘉靖
142	NULL	拜辭爹媽便起程	2.118	大河蟹	外生占唱	荔鏡記--嘉靖
143	NULL	叮嚀拙話仔須聽	2.119	NULL	NULL	荔鏡記--嘉靖
144	NULL	三年任滿轉鄉里	2.12	NULL	NULL	荔鏡記--嘉靖
145	NULL	合家團圓RRRR	2.121	NULL	NULL	荔鏡記--嘉靖
146	NULL	許時返來即相慶	2.122	NULL	NULL	荔鏡記--嘉靖
147	末丑	仔兒分開我心痛	2.123	NULL	NULL	荔鏡記--嘉靖
148	NULL	只去隔斷千山萬嶺	2.124	NULL	NULL	荔鏡記--嘉靖
149	NULL	勸爹勸媽	2.125	NULL	外生占	荔鏡記--嘉靖
150	NULL	莫得發業費心情	2.126	NULL	NULL	荔鏡記--嘉靖
151	NULL	三年任滿	2.127	NULL	合	荔鏡記--嘉靖
152	NULL	RR許時返來即相慶	2.128	NULL	NULL	荔鏡記--嘉靖
