MID	state	page	role	content	ps	book
1	1	61	古伯	呀!原來是你!	NULL	邱罔舍第一部
2	1	61	壽叔	噢!是邱少爺!恭......嘿, 你那會穿安呢? 連嘴秋也無修.	NULL	邱罔舍第一部
3	1	61	罔舍	這那有啥稀奇?	NULL	邱罔舍第一部
4	1	61	知壽	在這新年頭, 可喜的日子......	NULL	邱罔舍第一部
5	1	61	舍	新年那有啥貨仔可喜? 敢不是同款的苦日子?	NULL	邱罔舍第一部
6	1	62	舍	唉!過年, 過年丹~丹~老, 尹L成, 兩鬢霜, 死期直要到啊! 那有啥可喜?	NULL	邱罔舍第一部
7	1	62	壽	唉唉, 呆運 (phai1 un7), 遇到 (tu7 ka2) 這個...	NULL	邱罔舍第一部
8	2	62	九嫂	不當出去, 彼個人像小的, 會掠人, 快入來!	NULL	邱罔舍第一部
9	3	63	醜母	阿貝, 轉來, 轉來, 不當去!	NULL	邱罔舍第一部
10	3	63	醜母	你看咧, 這個乞食厝裡不知死啥人, 你不當偎去, 快走, 快走, 你看伊像孝男.	NULL	邱罔舍第一部
11	4	64	通	我叫是誰, 原來是邱少爺; 你那會打扮安呢, 乎我驚元?	NULL	邱罔舍第一部
12	4	64	通	喂喂! 請你不當連過年也要蒙呼無去, 看來你那準腹肚夭的款, 啊請你來阮這裡吃麵嘿, 並無噢! 請你著愛等到初五隔開正來, 哈哈哈, 哈哈, 嘻嘻嘻!	NULL	邱罔舍第一部
13	5	65	宗	嘿, 我叫是啥人, 原來就是你! 你的目周 thai1 去, 生置頭前也是後壁?	NULL	邱罔舍第一部
14	5	65	宗	哇哇哇, 你是安怎? 嘿! 頭前也沒鑼, 後壁也沒鼓, 你那會像抵做孝男!	NULL	邱罔舍第一部
15	5	65	宗	長嘴秋, 革屎莫愛修, 留著 (ti7 e7) 藏胡鰡!	NULL	邱罔舍第一部
16	6	66	銅	喂喂, 你看咧, 你看咧, 彼是啥?	NULL	邱罔舍第一部
17	6	66	紅	置 ta3, 置 ta3?	NULL	邱罔舍第一部
18	6	66	銅	你看咧, 彼個人頭毛革散散, 目周仔革降降, 愈 (lu7) 看愈不是人!	NULL	邱罔舍第一部
19	6	66	紅	嘻嘻嘻! 伊那是誰, 伊就是蒙天蒙地的邱少爺了, 伊大概安呢就是直 (ti7) 的 (te7) 蒙新年!	NULL	邱罔舍第一部
20	6	66	轎夫	也! 借問咧, 蒙新年是安怎蒙啊?	NULL	邱罔舍第一部
21	6	66	紅	邱仔舍, in7 講問你蒙新年是安怎蒙啦? 哈哈哈......	NULL	邱罔舍第一部
22	7	67	甲	創啥貨? 你目周是麼? 行路不看人!	NULL	邱罔舍第一部
