type,pos,釋義1
一,neu,1.【數】數字。
一下,Nd,1.動詞後綴。表示極短的時間或是短時間的動作。 例：小等一下。Sió-tán--tsi̍t-ē. (稍等一會兒。)　[近]一下仔
一世人,Na,【名】一輩子。例：我一世人毋捌做過對不起別人的代誌。Guá tsi̍t-sì-lâng m̄-bat tsò-kuè tuì-put-khí pa̍t-lâng ê tāi-tsì. (我一輩子不曾做過對不起他人的事。)　
一來,Neu,【副】首先。例：一來我無時間，二來我無興趣，所以我無欲參加。It--lâi guá bô sî-kan, jī--lâi guá bô hìng-tshù, só-í guá bô beh tsham-ka. (一來我沒時間，二來我沒興趣，所以我沒有要參加。)　
一再,D,
一刀兩斷,VH,【熟】一刀斬成兩段，比喻斷絕關係。例：兩兄弟仔為著拚生理，就按呢一刀兩斷無來去。In nn̄g hiann-tī-á uī-tio̍h piànn sing-lí, tō án-ne it-to-lióng-tuān bô lâi-khì. (他們兄弟倆為了拚生意，就這樣斷絕關係，不相往來。)　
一切,Neqa,
一半,Neqa,1.【名】二分之一。例：買果子的錢，一人愛出一半。Bé kué-tsí ê tsînn, tsi̍t lâng ài tshut tsi̍t-puànn. (買水果的錢，一人要出一半。)　
一向,D,
一夜情,Na,
一大堆,Neqa,
一定,D,1.【副】必定、必然。例：你講過的話，一定愛會記得。Lí kóng--kuè ê uē, it-tīng ài ē-kì--tit. (你說過的話一定要記得。)　[近]包穩、必然
一律,VH,【副】全部都一樣。例：伊對伊的學生一律攏真嚴格。I tuì i ê ha̍k-sing it-lu̍t lóng tsin giâm-keh. (他對他的學生一律都很嚴格。)　
一心,VH,
一心一意,D,
一日,Nd,
一旦,Nd,1.【副】假使有一天。例：一旦地動，彼間厝就會倒。It-tàn tē-tāng, hit king tshù tō ē tó. (一旦地震，那間房子就會倒。)　
一時,Nd,
一概,D,【副】一律、完全。例：眾人的意見伊一概反對。Tsìng-lâng ê ì-kiàn i it-khài huán-tuì. (眾人的意見他一概反對。)　
一模一樣,VH,
一流,VH,
一片,Na,
一生,Na,1.【形】畢生的、一輩子的。例：做教授是我一生的願望。Tsò kàu-siū sī guá it-sing ê guān-bōng. (當教授是我一生的願望。)　
一直,D,1.【副】朝同一個方向直行而去。例：一直向前行，毋免轉斡。It-ti̍t hiòng tsîng kiânn, m̄-bián tńg-uat. (一直向前走過去，不用轉彎。)　
一致,VH,【形】趨向相同。例：伊佮我的看法並無一致。I kah guá ê khuànn-huat pīng bô it-tì. (他跟我的看法並不一致。)　
一般,VH,【形】普遍性的、平常的。例：一般人攏真愛面子。It-puann lâng lóng tsin ài bīn-tsú. (一般人都很愛面子。)　
一貫,VH,
一路,D,【名】沿途、路上。 例：祝恁一路平安。Tsiok lín tsi̍t-lōo pîng-an. (祝福你們一路平安。)　
一連串,A,
一邊,D,
一面,Na,1.【副】描述兩種以上的事情同時進行著。例：伊一面做工，一面讀冊。I tsi̍t-bīn tsò-kang, tsi̍t-bīn tha̍k-tsheh. (他一邊工作，一邊讀書。)　
一體,Na,
一齊,D,
丁,Nf,附錄－百家姓
七,Neu,1.【數】數字。例：七个人　tshit ê lâng(七個人)。
七堵,Nc,附錄－地名－火車線站名
七夕,Nd,【名】農曆七月初七夜晚。相傳天上的牛郎、織女會在當晚相會。對臺灣人來說，七月初七是「七娘媽生」(Tshit-niû-má-senn)，臺南還有「做十六歲」(tsò tsa̍p-la̍k huè)的習俗。
七娘媽,Na,【名】註生娘娘或是織女。女性神明，生日為農曆七月初七，當天會用油飯、花朵、胭脂水粉祭祀。
七早八早,VH,1.【時】一大清早。
七星,Nb,【名】北斗星、北斗七星。星座名。由七顆星組合、排列在北方天空的星象，形狀像斗杓。是中國數術、宗教儀式中重要的星象，在西方星象學上屬於大熊星座。例：七星陣　tshit-tshenn tīn(依照北斗七星排列所設的陣式)。
七星山,Nc,附錄－地名－山脈名
七月半,Nd,【名】農曆七月十五日，即中元節。參見【中元】Tiong-guân 條。例：咱七月半普渡彼工，菜碗著攢較腥臊咧，來拜好兄弟仔。Lán Tshit-gue̍h-puànn phóo-tōo hit kang, tshài-uánn tio̍h tshuân khah tshenn-tshau--leh, lâi pài hó-hiann-tī-á. (咱們中元普渡那天，供品得準備豐盛點，來祭拜好兄弟。)　
七爺,Nb,【名】神明的名稱。名字為謝必安，身材高大，和八爺范無救為好友，因為守信守義而死，死後被封入神界，是城隍爺出巡時的重要配祀神明。
七竅,Na,
丈,Nf,
丈人,Na,【名】岳父。稱謂。男子稱妻子的父親。例：阮丈人明仔載欲起來臺北。Guán tiūnn-lâng bîn-á-tsài beh khí-lâi Tâi-pak. (我的岳父明天要北上到臺北。)　
三,Neu,
三七仔,Na,【名】皮條客。為男女雙方媒介色情，拉攏不正當關係的牽合者。因為與妓女三七分帳，才有此稱呼。
三不五時,Nd,【熟】不時、經常。例：伊三不五時就來阮兜行踏。I sam-put-gōo-sî tō lâi guán tau kiânn-ta̍h. (他不時來我們家串門子。)；伊三不五時會有新作品出版。I sam-put-gōo-sî ē ū sin tsok-phín tshut-pán. (他不定時有新作品出版。)　
