UID	role	content	issuePageLine	book
1	NULL	警察用語	1-3	語苑五
2	NULL	講甚麼要坐賭份、彼是按怎。	2001-3-1	語苑五
3	NULL	譬論、要博四色飜來講、賭腳有四人定著、	2001-3-2	語苑五
4	NULL	加一人五腳沒博得、所以彼有加的人、	2001-4-1	語苑五
5	NULL	若要份就有四腳的其中要揀一腳與伊鬥、	2001-4-2	語苑五
6	NULL	不管有輸羸錢做公家、照份聲要攤都是。	2001-4-3	語苑五
7	NULL	如此生、汝在講我不止訂意聽、即續沒記得對戶口簿、	2001-4-5	語苑五
8	NULL	今來對喲、此賭的事情、	2001-4-6	語苑五
9	NULL	要俟我的閒日即更來請教。	2001-4-7	語苑五
10	NULL	啊著、講車字有變賭話去、無採了時間、	2001-4-8	語苑五
11	NULL	到今有對簿就得要清楚呢。	2001-4-9	語苑五
12	NULL	賭的事、亦阮警察的人應該著能曉即好、	2001-4-10	語苑五
13	NULL	不是無用的、我有不止利得嘮、此滿是誰人。	2001-4-11	語苑五
14	NULL	謝車的位續來、離婚的日子是此月初十。	2001-5-2	語苑五
15	NULL	著、藉復返去○堡○庄三番地、陳周林彼仔。	2001-5-3	語苑五
16	NULL	是是、此次是出生屆、稟主是尤福、番地是三六七。	2001-5-5	語苑五
17	NULL	此息有生二個子是無。	2001-5-7	語苑五
18	NULL	是、双生著、呌做尤福真正有好命。	2001-5-8	語苑五
19	NULL	尚有抑無。	2001-5-9	語苑五
20	NULL	尚有二三件在得。	2001-5-10	語苑五
21	NULL	誰人。	2001-5-11	語苑五
22	NULL	程丁的寄留稟、自○○街搬過來的、住在三四六番地。	2001-6-1	語苑五
23	NULL	有有、含妻子有三個人咯。	2001-6-3	語苑五
24	NULL	是是。	2001-6-4	語苑五
25	NULL	此阿丁是有食烏煙、又曾有犯案的人麼。	2001-6-5	語苑五
26	NULL	有食阿片煙我知、曾犯罪的事情並不知。	2001-6-6	語苑五
27	NULL	有二次、頭回是做賊、次回是撓人的錢	2001-6-7	語苑五
28	NULL	汝著愛張致伊咯。	2001-6-8	語苑五
29	NULL	我在看准善人呢、敢有許歹手爪的人。	2001-6-9	語苑五
30	NULL	汝不知、單單看人的面沒料得彼心肝底。	2001-6-10	語苑五
31	NULL	財務用語	1-8	語苑五
32	NULL	地押調查	1-8	語苑五
33	NULL	我此次本成的園與原野做一下新開一個大陂、	2001-8-1	語苑五
34	NULL	此層是不知怎樣仔辨理就好。	2001-8-2	語苑五
35	NULL	彼是原本的園變做陂的額是申告無租地成、	2001-8-3	語苑五
36	NULL	尚原野變做陂的額是申告無租地地目變換、	2001-8-4	語苑五
37	NULL	以後到第二年即申告彼二筆的合併就能用得。	2001-8-5	語苑五
38	NULL	怎樣仔即沒使得隨時合併[口荷]	2001-8-7	語苑五
39	NULL	不論新抽稅的時、亦是免稅的時、亦是修正的時、	2001-9-1	語苑五
40	NULL	亦是更正的時、通盤對彼個地目變換、	2001-9-2	語苑五
41	NULL	抑是地域變更東西的第二年	2001-9-3	語苑五
42	NULL	即能使得算額、所以本成的原野變做陂的額是自本無關係地租的事情、	2001-9-4	語苑五
43	NULL	不拘園變做陂的額是平平是做同一個陂來講亦是地租是已經定著抽到今年、	2001-9-5	語苑五
44	NULL	所以即沒使得相參的嘮。	2001-9-7	語苑五
45	NULL	登記用語	1-10	語苑五
46	NULL	保存登記ﾉ受付調查	1-10	語苑五
47	NULL	厝起在二位的地基頂的時節、要怎樣登記b	2001-10-1	語苑五
48	NULL	起騎在兩旁的地面的厝是沒使得登記、	2001-10-3	語苑五
49	NULL	此張圖看覔得、有寫三拾坪濶的厝、地基是尚有空地的欵、	2001-10-4	語苑五
50	NULL	若有空地來講、地基是比厝嶄然有較大的欵、	2001-10-5	語苑五
51	NULL	如此看起來的時候、	2001-10-6	語苑五
52	NULL	厝是起騎在二位以上的地面即著	2001-10-7	語苑五
53	NULL	著查到斟酌咧。	2001-11-1	語苑五
54	NULL	地基二位攏是我的業、亦是厝沒使得登記是否。	2001-11-2	語苑五
55	NULL	是都著、二位的地基不論是汝的、抑是別人的、	2001-11-4	語苑五
56	NULL	騎在二位的地面的厝是有定規	2001-11-5	語苑五
57	NULL	攏沒使得登記。	2001-11-6	語苑五
58	NULL	九毫算做坪數就有幾坪、地基與厝是爭差幾坪b。	2001-11-7	語苑五
59	NULL	一甲是有二千九百三十四坪、所以九毫即有二十六坪四合而已、	2001-11-9	語苑五
60	NULL	厝的坪數是三十坪、	2001-11-10	語苑五
61	NULL	所以地基是此厝加三坪六合左右歟、	2001-11-11	語苑五
62	NULL	到是如此、查到真即來請。	2001-12-1	語苑五
63	NULL	區長役場用語	1-12	語苑五
64	NULL	資產及生產調查的問答	1-12	語苑五
65	NULL	保正有在得否。	2001-12-2	語苑五
66	NULL	就是我本身。	2001-12-3	語苑五
67	NULL	大家不曾相會、所以不相識、汝敢是此幚即新當的乎。	2001-12-4	語苑五
68	NULL	是、因為舊保正徙去別位、所以換我做。	2001-12-6	語苑五
69	NULL	歟、是如此歟、我請問汝咧、此條街十二番戶李乞	1-13-1	語苑五
70	NULL	有若多家伙及一年出有若多子利汝知否。	1-13-2	語苑五
71	NULL	我住此無若久、無甚知、總是我聽見講、	1-13-4	語苑五
72	NULL	台北城內有三間店及現時自己在住攏總有四間、	1-13-5	語苑五
73	NULL	餘者我不知。	1-13-6	語苑五
74	NULL	尚有甚業產抑是現銀在放借人抑否。	1-13-7	語苑五
75	NULL	彼我不知、汝著別位查看覔咧。	1-13-8	語苑五
76	NULL	無、我來去{伊心}厝問看覔咧。	1-13-9	語苑五
77	NULL	汝請、不止促慒。	1-13-10	語苑五
78	NULL	豈敢、順行。	1-13-11	語苑五
79	NULL	糖業用語	1-14	語苑五
80	NULL	種甘蔗是看地勢與地質的好歹、沒一定照同一欵的法度、	1-14-1	語苑五
81	NULL	雖是此次要交給恁的改良甘蔗是有二欵、	1-14-2	語苑五
82	NULL	蔗枝攏較大枝、尚能較長、	1-14-3	語苑五
83	NULL	較有收成、比自本的生性無同欵、	1-14-4	語苑五
84	NULL	所以種的法度亦有畧畧仔爭差、	1-14-5	語苑五
85	NULL	所以此候較要緊的所在講給恁知、恁大家照看此號法度、	1-14-6	語苑五
86	NULL	著斟酌培養就是。	1-14-7	語苑五
87	NULL	所有的甘蔗栽是對枝尾留尺外伐起來做蔗栽這是上好、	1-14-8	語苑五
88	NULL	不拘此改良種是過來無若久、	1-15-1	語苑五
89	NULL	所以蔗栽亦較少、姑不終將蔗枝攏總做栽、	1-15-2	語苑五
90	NULL	中央下腳做栽的、	1-15-3	語苑五
91	NULL	比枝尾的出青較緩有三禮拜外亦無得確、雖是蔗筍若無歹、	1-15-4	語苑五
92	NULL	就得確能出青所以免掛碍、	1-15-5	語苑五
93	NULL	有個三目內孤孤有一個蔗筍的亦著斟酌培養即好。	1-15-6	語苑五
94	NULL	改良種的蔗栽是三目做一栽、長是尺二左右長、	1-15-8	語苑五
95	NULL	平常是一栽做一欉、	1-15-9	語苑五
96	NULL	不拘蔗筍若較不好的著二栽做一欉。	1-15-10	語苑五
97	NULL	中部旅行案內用語	1-16	語苑五
98	NULL	陳道明足、請問汝、此臺中去埔里社、	1-16-1	語苑五
99	NULL	有幾里路。	1-16-2	語苑五
100	NULL	算日本里、差不多有十六里外路。	1-16-3	語苑五
101	NULL	不知行一日能得到沒。	1-16-4	語苑五
102	NULL	路裡宿一瞑、二日即能得到。	1-16-5	語苑五
103	NULL	我不曾到、不知對何位仔去。	1-16-6	語苑五
104	NULL	今、我詳細講給汝聽、此去到土城庄、	1-16-7	語苑五
105	NULL	差不多有六里路、有輕便車可好坐。	1-17-1	語苑五
106	NULL	土城庄到龜仔頭庄、有三里外路、路裡有一條大溪	1-17-2	語苑五
107	NULL	渡過二位、一位有吊橋、	1-17-3	語苑五
