音讀 詞目
it 一
it 乙
ting 丁
tshit 七
liáu 了
to 刀
tiau 刁
pok 卜
iū 又
ê 个
uân 丸
io 么
khit 乞
iā 也
bông 亡
huân 凡
huān 凡
tshe 叉
thóo 土
sū 士
tshùn 寸
kan 干
tsâi 才
tshâi 才
put 不
thiú 丑
tan 丹
tsi 之
hōo 予
tseh 仄
phak 仆
siû 仇
līng 冗
liōng 冗
hiong 凶
tshiat 切
kau 勾
huà 化
phit 匹
eh 厄
iú 友
thài 太
hu 夫
ín 引
sim 心
hōo 戶
bûn 文
khiàm 欠
tsí 止
pí 比
sī 氏
hū 父
ông 王
tsú 主
sū 仕
hù 付
sian 仙
līng 令
í 以
tsheh 冊
tshut 出
khan 刊
pau 包
siap 卌
tsiàm 占
báu 卯
khì 去
kóo 古
kù 句
tsí 只
kiò 叫
ting 叮
tâi 台
siû 囚
sit 失
lôo 奴
tshī 市
pòo 布
iù 幼
bōo 戊
pê 扒
tánn 打
bîn 民
tsiap 汁
huān 犯
kam 甘
iû 由
sin 申
sī 示
hia̍t 穴
li̍p 立
kau 交
hāi 亥
i̍k 亦
kiānn 件
hūn 份
hóng 仿
i 伊
hiu 休
tiāu 兆
kā 共
tsài 再
ping 冰
táinn 刐
hîng 刑
lia̍t 列
tshiūnn 匠
ìn 印
kiat 吉
tiàu 吊
thóo 吐
thòo 吐
kiánn 囝
sìn 囟
in 因
tsāi 在
tsùn 圳
to 多
kan 奸
hui 妃
tsûn 存
sī 寺
tsiam 尖
tsiu 州
tsng 庄
sut 戌
khàu 扣
siu 收
tsá 早
khiau 曲
tsu 朱
tshù 次
tshú 此
kang 江
tî 池
bí 米
khó 考
sîn 臣
tsū 自
sik 色
hâng 行
hīng 行
kóo 估
tī 佇
pòo 佈
uī 位
khik 克
bián 免
ping 兵
líng 冷
phuànn 判
tsōo 助
kiap 劫
kun 君
thun 吞
gîm 吟
tshńg 吮
khip 吸
háu 吼
eh 呃
tai 呆
kò 告
tún 囤
khǹg 囥
buê 囮
khám 坎
ngeh 夾
iau 妖
kīm 妗
miāu 妙
Sòng 宋
uân 完
kio̍k 局
phuì 屁
sûn 巡
hîng 形
khī 忌
tsì 志
bōng 忘
khuài 快
pān 扮
tshé 扯
tsāu 找
ki 技
tshau 抄
ia̍h 抑
tâu 投
kái 改
kong 攻
lí 李
hīng 杏
tsâi 材
tshun 村
sia̍h 杓
sok 束
pōo 步
muí 每
kiû 求
thài 汰
ak 沃
tshiong 沖
tsai 災
kông 狂
lâm 男
ting 疔
hē 系
hán 罕
tóo 肚
tōo 肚
kak 角
giân 言
tāu 豆
tsiok 足
sin 身
sin 辛
sîn 辰
siâ 邪
iú 酉
lí 里
hông 防
kuai 乖
lâi 來
lē 例
thòo 兔
kî 其
tián 典
tsè 制
tshì 刺
tshiah 刺
khik 刻
tsut 卒
kuà 卦
kńg 卷
tshú 取
siū 受
bī 味
tsiù 咒
khu 坵
iā 夜
phānn 奅
tshe 妻
tshiap 妾
ḿ 姆
tsé 姊
tsí 姊
koo 姑
kuì 季
koo 孤
kài 屆
khut 屈
siū 岫
phè 帕
thiap 帖
hīng 幸
tiàm 店
hú 府
tshiân 延
tiong 忠
liām 念
hòo 戽
sóo 所
phiann 抨
phi 披
buah 抹
thiu 抽
khioh 抾
bín 抿
tú 拄
thiah 拆
liam 拈
ni 拈
kuái 拐
khînn 拑
thua 拖
áu 拗
piànn 拚
ōng 旺
ho̍k 服
phuè 杮
pue 杯
pán 板
pang 枋
bú 武
hô 河
iû 油
tī 治
iân 沿
siû 泅
tsuat 泏
huat 法
pho 波
iām 炎
tshá 炒
pê 爬
pâ 爸
pē 爸
pán 版
bông 盲
ti̍t 直
siā 社
kiù 糾
kiunn 羌
tsiá 者
kóo 股
ki 肢
khíng 肯
hì 肺
hóo 虎
khiû 虯
kim 金
hui 非
tîng 亭
tshim 侵
sio̍k 俗
pó 保
sìn 信
kuan 冠
thì 剃
khik 剋
ióng 勇
lâm 南
khiok 卻
lî 厘
ko̍k 咯
ai 哀
phín 品
ha 哈
tsàu 奏
ī 奕
î 姨
hâi 孩
sik 室
si 屍
hāng 巷
tè 帝
tōo 度
lu̍t 律
kip 急
uàn 怨
pài 拜
tshit 拭
àn 按
tsìng 政
kòo 故
si 施
tshun 春
sī 是
iau 枵
kam 柑
iū 柚
tshâ 查
khī 柿
uai 歪
sè 洒
khó 洘
tōng 洞
sia̍p 洩
tsiu 洲
phài 派
thuànn 炭
phàu 炮
pû 炰
tsà 炸
uî 為
uī 為
uì 畏
pa 疤
kuí 癸
kai 皆
phûn 盆
síng 省
tshiu 秋
kho 科
iok 約
bí 美
nāi 耐
uī 胃
puē 背
tì 致
khóo 苦
kiô 茄
khīng 虹
sann 衫
tīng 訂
hū 負
hù 赴
kun 軍
pik 迫
tshuànn 閂
hâng 降
kàng 降
kik 革
im 音
ia̍h 頁
hong 風
siu 修
kò 個
kuann 倌
puē 倍
tó 倒
tò 倒
tshiànn 倩
kiam 兼
uan 冤
tsún 准
huí 匪
tshù 厝
ko 哥
kénn 哽
haih 唉
bâi 埋
poo 埔
tiânn 埕
thò 套
sun 孫
hāi 害
iông 容
siā 射
tián 展
ban 屘
si̍k 席
tsō 座
khòo 庫
tôo 徒
thí 恥
kiong 恭
khe̍h 挈
thuah 挩
bán 挽
gia̍p 挾
nge̍h 挾
phâng 捀
thóng 捅
khún 捆
lua̍h 捋
sa 捎
lia̍p 捏
kap 敆
hāu 效
liāu 料
sî 時
tīm 朕
tshâ 柴
