2	一	壹	第7級	it	壹	【替】tsi̍t			1.【數】數字。	2.【形】極、最、第一的。例：一流　it-liû。	3.【形】相同的。例：兩个生做一模一樣。In nn̄g ê senn-tsò it-bôo-it-iūnn. (他們兩個長得一模一樣。)　	4.【副】整個地、全部地。例：一生　it-sing、一向　it hiòng。																						
7	一日到暗	整天	第4級	tsi̍t-ji̍t-kàu-àm/tsi̍t-li̍t-kàu-àm			規工、規日		【熟】一天到晚、從早到晚，整天。例：你毋好一日到暗拋拋走。Lí m̄-hó tsi̍t-ji̍t-kàu-àm pha-pha-tsáu. (你不要一天到晚四處亂跑。)　																									
9	一世人	終身	第5級	tsi̍t-sì-lâng	一世儂		一生、規世人、透世人		【名】一輩子。例：我一世人毋捌做過對不起別人的代誌。Guá tsi̍t-sì-lâng m̄-bat tsò-kuè tuì-put-khí pa̍t-lâng ê tāi-tsì. (我一輩子不曾做過對不起他人的事。)　																									
10	一半	一半	第2級	tsi̍t-puànn					1.【名】二分之一。例：買果子的錢，一人愛出一半。Bé kué-tsí ê tsînn, tsi̍t lâng ài tshut tsi̍t-puànn. (買水果的錢，一人要出一半。)　	2.【形】表示次數很少。例：塗跤一半擺仔無拭，袂偌垃圾啦！Thôo-kha tsi̍t-puànn-pái-á bô tshit, bē guā lah-sap--lah! (地板一兩次沒擦，不會多髒啦！)　																								
14	一旦	一旦	第5級	it-tàn					1.【副】假使有一天。例：一旦地動，彼間厝就會倒。It-tàn tē-tāng, hit king tshù tō ē tó. (一旦地震，那間房子就會倒。)　	2.【名】短暫的時間。例：毀於一旦　huí î it-tàn。																								
15	一生	終身	第5級	it-sing			一世人、規世人、透世人		1.【形】畢生的、一輩子的。例：做教授是我一生的願望。Tsò kàu-siū sī guá it-sing ê guān-bōng. (當教授是我一生的願望。)　	2.【名】畢生、一輩子。例：你毋通放蕩過一生。Lí m̄-thang hòng-tōng kuè it-sing. (你不要放蕩過一生。)　																								
21	一直	一直	第2級	it-ti̍t					1.【副】朝同一個方向直行而去。例：一直向前行，毋免轉斡。It-ti̍t hiòng tsîng kiânn, m̄-bián tńg-uat. (一直向前走過去，不用轉彎。)　	2.【副】持續不間斷。例：阿美一直咧掃塗跤，攏無歇睏。A-bí it-ti̍t teh sàu thôo-kha, lóng bô hioh-khùn. (阿美一直在掃地，都沒有休息。)　																								
22	一律	完全	第3*級	it-lu̍t			一概		【副】全部都一樣。例：伊對伊的學生一律攏真嚴格。I tuì i ê ha̍k-sing it-lu̍t lóng tsin giâm-keh. (他對他的學生一律都很嚴格。)　																									
23	一致	完全	第3*級	it-tì			一概		【形】趨向相同。例：伊佮我的看法並無一致。I kah guá ê khuànn-huat pīng bô it-tì. (他跟我的看法並不一致。)　																									
28	一般	一般	第3*級	it-puann					【形】普遍性的、平常的。例：一般人攏真愛面子。It-puann lâng lóng tsin ài bīn-tsú. (一般人都很愛面子。)　																									
31	一粒一	一流	第5級	it-lia̍p-it					1.【形】最好的、第一流的。例：這擺欲替伊開刀的醫生攏是一粒一的。Tsit pái beh thè i khui-to ê i-sing lóng sī it-lia̍p-it--ê. (這次為她開刀的醫生都是最好的。)　	2.【形】最投契的。例：阿英佮我是一粒一的好朋友。A-ing kah guá sī it-lia̍p-it--ê hó-pîng-iú. (阿英和我是最要好的朋友。)　																								
34	一概	完全	第3*級	it-khài			一律、一致、一切		【副】一律、完全。例：眾人的意見伊一概反對。Tsìng-lâng ê ì-kiàn i it-khài huán-tuì. (眾人的意見他一概反對。)　																									
36	一寡	少許	第6級	--tsi̍t-kuá			一點仔、一絲仔	足濟	【副】一些、少許，也可以單說「寡」(--kuá)。例：加減食一寡。Ke-kiám tsia̍h--tsi̍t-kuá. (多少吃一點。)　																									
41	一點仔	少許	第6級	tsi̍t-tiám-á			一屑仔、一寡、一疕仔、一絲仔		【形】一點兒、一 點點。形容數量極少。例：你才食一點仔物件哪會飽？Lí tsiah tsia̍h tsi̍t-tiám-á mi̍h-kiānn ná ē pá? (你才吃一點點東西怎麼會飽？)　																									
45	乙	乙	第6級	it					1.【名】天干的第二位。例：甲乙丙丁　kah it piánn ting。	2.【形】次序或等級屬於第二的。例：乙等　it tíng。																								
46	丁	男子	第4*級	ting					1.【名】天干的第四位，也指排序或等級為第四。例：甲乙丙丁　kah it piánn ting。	2.【名】男子。例：出丁　tshut-ting(生男孩子)。	3.【名】姓氏。																							
47	七	七	第1級	tshit					1.【數】數字。例：七个人　tshit ê lâng(七個人)。	2.【形】常和八連用成為詞組，用來表示強調或重複的意思。例：七老八老　tshit-lāu-peh-lāu(強調很老)、七除八扣　tshit-tû-peh-khàu(計算時一再折扣，自總數中盡量減除。)。	3.【名】傳統喪禮儀式中每七天為一旬。一、三、五、七旬為大旬，必須請道士做法會，稱作「做七」(tsò-tshit)或是「做旬」(tsò-sûn)，到七旬結束才算功德圓滿。																							
48	九	九	第1級	【白】káu		【文】kiú			1.【數】數字。	2.【形】形容多數。例：十喙九尻川。Tsa̍p tshuì káu kha-tshng. (形容人多嘴雜。)　																								
49	九	九	第1級	【文】kiú		【白】káu			釋義參見【九】káu 條。例：三教九流　sam-kàu kiú-liû。																									
50	了	賠錢	第7級	liáu					1.【動】表示動作結束、完畢。或是表示動作的時間狀況。例：飯食了才食果子。Pn̄g tsia̍h-liáu tsiah tsia̍h kué-tsí. (飯吃完再吃水果。)　[近]了了、好、完	2.【動】明白。例：了解　liáu-kái。	3.【動】白費。例：了力　liáu la̍t(白費力氣)、了工　liáu-kang(白費功夫)。	4.【動】賠錢、損失。例：了錢生理無人做。Liáu-tsînn sing-lí bô lâng tsò. (賠錢生意沒人做。)　	5.【助】用於動詞及補語間，表示動作得到補語的結果。例：講了真清楚。Kóng liáu tsin tshing-tshó. (說得很清楚。)；洗了無清氣。Sé liáu bô tshing-khì. (洗得不乾淨。)　																					
51	二	二	第1級	jī/lī					【數】數字。 例：第二　tē-jī。															二	二　lī, 兩　nňg	二　jī, 兩　nn̄g	二　lī, 兩　nn̄g	二　jī, 兩　nn̄g	二　jī, 兩　nn̄g	二　jī, 兩　nn̄g	二　lī	二　jī	二　lī	二　jī; gī
52	人	人	第1級	jîn/lîn		【替】lâng			1.【名】具有高度智慧和靈性，能使用語言進行思維溝通，且能製造並使用工具的高等動物。例：人類　jîn-luī。	2.【形】與人有關的。例：人情　jîn-tsîng、人事　jîn-sū。	3.【名】具有某種身份或特徵的人。例：聖人　sìng-jîn、軍人　kun-jîn。																							
