!	EXCLANATIONCATEGORY
"	FW
"0"	Neu
"1"	Neu
&	Caa
&CO	FW
&CONSTRUCTION	FW
&Curwen	FW
&Devil	FW
&Fall	FW
&GABBANA	FW
&Gabbana	FW
&Helene	FW
&Joe	FW
&My	FW
&Peace	FW
&Professional	FW
&Sebastian	FW
&world	FW
*	FW
**	FW
***********************************************{6000}	
*C_em	FW
*E糷	FW
+	FW
,	COMMACATEGORY
-	DASHCATEGORY
-	FW
--	DASHCATEGORY
--	FW
---	FW
----	FW
-----	FW
------	FW
-------	FW
--------	FW
-------------	FW
-------------------	FW
----H	FW
--<<	FW
--COLORS	FW
--CPR	FW
--Carol	FW
--LPGA	FW
--UCLA	FW
--{6000}{6000}{6000}{6000}{6000}{6000}{6000}{6000}{6000}{6000}{6000}{6000}{6000}	
--{A000}{A000}{A000}{A000}{A000}{A000}{A000}{A000}	
-1	Neu
-10月	Nd
-11月	Nd
-3月	Nd
-4月	Nd
-5月	Nd
-6月	Nd
-7月	Nd
-Baxter	FW
-DIESEL	FW
-DUENDE	FW
-Din	FW
-IHAA	FW
-M	FW
-MPCD	FW
-Mark	FW
-Tercel	FW
-Tronic	FW
-XXXXXXXX	FW
-amyloid	FW
-bye	FW
-c=c-	FW
-dx1-dx2-dx3	Neu
-{PAGE|６}-	FW
-１	FW
-２	Neu
-２０	Neu
-３﹒１８％	Neqa
-５	FW
-５	Neu
-６	Neu
-７	Neu
-８５	Neu
.	PERIODCATEGORY
......{4000}{4000}{4000}{4000}{4000}{4000}	
.ｃｏｍ	FW
.ｈｉｎｅｔ	FW
.ｎｅｔ	FW
.ｔｗ	FW
/	FW
//law	FW
//lugansky	FW
//stdank﹒as﹒ntu﹒edu﹒tw/~hsutsai/	FW
//t1t1	Neu
//teach	FW
//uukt	FW
//www	FW
//www.edunet.taipei.gov.tw	FW
/TIFFANY	Nb
/^----^/	FW
/c	FW
/kon/	FW
/le/	FW
/sqrt	FW
/tre/	FW
/|/^\__|/|^\/\V|------------t=t_0x	FW
0	Neu
0.001	Neu
0.02	Neu
0.04	Neu
0.06	Neu
0.1	Neu
0.6	Neu
0.8	Neu
0.81	Neu
000	FW
006/	Neu
01	Neu
010/	Neu
018	FW
02	FW
02	Neu
02-23921970	Neu
03	Neu
05	Neu
06	Neu
07	FW
0761	Neu
0814	Neu
0928-804983	Neu
09:00	Nd
1	Cbb
1	Neu
1%	Neqa
1,990	Neu
1-10^-18	Neu
1-1^-18	Neu
1-3	Neu
1-v^2/c^2	Neu
1.3	Neu
1.33	Neu
1/2	Neu
10	FW
10	Neu
10/5	Neu
100	Neu
1000	Neu
100萬	Neu
100％	FW
100％	Neqa
103	FW
1031年	Nd
104	Nb
109	Neu
10^20-10^21eV	Neu
10多	Neu
10日	Nd
10時	Nd
10月	Nd
10月份	Nd
10點	Nd
10％	FW
11	Cbb
11	Neu
11%	Neqa
110	Neu
112	Nb
1139年	Nd
114	Neu
118	FW
119.58	Neqa
11:00	Nd
11日	Nd
11時	Nd
11月	Nd
11月份	Nd
11萬	Neu
11點	Nd
12	FW
12	Neu
12%	Neqa
12,800	Neu
120	Neu
1200	Neu
120億	Neu
123U-like	Neu
12日	Nd
12時	Nd
12月	Nd
12點	Nd
13	FW
13	Neu
13%	Neqa
13,700	Neu
130	Neu
1300	Neu
1321	Neu
1322	Neu
133	Neu
134	FW
138.	
13億	Neu
13日	Nd
13％	Neu
14	FW
14	Neu
140	Neu
1400	Neu
140萬	Neu
144	Neu
1450	Neu
148	Neu
14800	Neu
14:00	Nd
14日	Nd
14樓	Nc
15	Neu
15%	Neqa
150	Neu
150萬	Neu
15g	FW
15日	Nd
15點1	Neu
16	FW
16	Neu
16,000	Neu
16.5	Neu
1600	Neu
16000	Neu
1601年	Nd
1610年	Nd
162	Neu
163	Neu
1632年	Nd
163之１號	Nc
1662	FW
1683年	Nd
16日	Nd
17	Cbb
17	Neu
17	Neu
175.8	Neu
17500	Neu
1763	Neu
17:00	Nd
18	FW
18	Neu
180	Neu
185	Neu
1868年	Nd
1889年	Nd
18日	Nd
19	Neu
190	Neu
191	Neu
1919年	Nd
192	Neu
1935年	Nd
1938年	Nd
1940年代	Nd
1943年	Nd
1944年	Nd
1945年	Nd
1946年	Nd
1949年	Nd
1950年	Nd
1952年	Nd
1954年	Nd
1958年	Nd
1960年代	Nd
1962	Nd
1962年	Nd
1965年	Nd
1969	Nd
1969年	Nd
1970年代	Nd
1974年	Nd
1978年	Nd
1980年	D
1980年	Nd
1980年代	Nd
1982年	Na
1983年	Nd
1984年	Nd
1985年	Nd
1986年	Nd
1987年	Nd
1988年	Nd
1989年	Nd
1990	Nd
1990年	Nd
1990年代	Nd
1991年	Nd
1992	Nd
1992年	Nd
1993年	Nd
1994	Neu
1994年	Nd
1995年	Nd
1996	Neu
1996年	Nd
1997年	Nd
1998年	Nd
1999年	Nd
19世紀	Nd
19日	Nd
1億2500萬	Neu
1千	Neu
1時	Nd
1月	Nd
1萬	Neu
1萬4	Neu
1萬5千	Neu
1萬8	Neu
1％	FW
1０００	Neu
1６００	Neu
2	Cbb
2	Neu
2%	Neqa
2,796	Neu
2-0	Neu
2-2	Neu
2.88％	Neqa
2/3	Neu
20	FW
20	Neu
200	Neu
200/	Neu
2000	Neu
2000年	Nd
2001年	Nd
2002年	Nd
2003年	Nd
2008	Nd
2008年	Nd
200P	FW
200萬	Neu
200餘	Neu
201	Neu
2030g	FW
209	Neu
20世紀	Nd
20億	Neu
20分	Nd
20多	Neu
20日	Nd
20餘	Neu
20％	Neqa
20０３年	Nd
21	Neu
2100	Neu
21世紀	Nd
21日	Nd
21％	Neqa
22	FW
22	Neu
22.52	Neqa
220	Neu
22222	Neu
224	Neu
228	Neu
22日	Nd
22％	FW
235	Neu
23697959	Neu
23951919	Neu
23953127	Neu
23955969	Neu
23─24	Neu
23日	Nd
24	Neu
240	Neu
24k	FW
24日	Nd
25	Neu
250	Neu
2500年	Nd
250CC	FW
251	Neu
25576980	Neu
25798800	Neu
25951676	Neu
26	FW
26	Neu
26%	Neqa
26*10^-9	Neu
26日	Nd
27	Neu
275	Neu
28	FW
280號	Nc
28日	Nd
29	Neu
293	FW
2n	Neu
2}	Neu
2億	Neu
2千	Neu
2千餘	Neu
2時	Nd
2月	Nd
2萬	Neu
2萬5千	Neu
2萬餘	Neu
2點	Nd
2５％	Neqa
2Ｄ	FW
3	Cbb
3	Neu
3%	Neqa
3,095	Neu
3,712	Neu
3-45	Neu
3/2	Neu
30	FW
30	Nd
30	Neu
300	Neu
3000	Neu
300萬	Neu
30分	Nd
30多	Neu
30日	Nd
30％	Neqa
31	FW
311c=1	Neu
315s=	Neu
32	Neu
32年	Nd
33	Neu
3315	Nb
34	FW
342	Neu
349	FW
34％	FW
35	Neu
350	Neu
357	Neu
358	Neu
35萬	Neu
36	Neu
360	Neu
37	Neu
375	Neu
37億	Neu
38	Neu
380	Neu
39	FW
39	Neu
3G	FW
3日	Nd
3時	Nd
3月	Nd
3百多萬	Neu
3萬	Neu
3％	FW
3０％	Neqa
3：0	Neu
3Ｄ	FW
4	Cbb
4	Neu
4,592	Neu
4,984	Neu
4-vector	FW
4-vectors	FW
40	Neu
400	Neu
400億	Neu
408	Neu
40億	Neu
40餘	Neu
41	FW
41	Neu
42	Neu
43	FW
44	FW
45	Neu
45No	Neu
46	Neu
47	FW
47	Neu
470億	Neu
48	Neu
49	FW
49	Neu
492.	
4x6	Nb
4x6	Neu
4、6	Cbb
4日	Nd
4時	Nd
4月	Nd
4萬	Neu
4％	FW
5	FW
5	Neu
5%	Neqa
5,891	Neu
50	Neu
50/1	Neu
500	Neu
500-600	Neu
5000	FW
500b=5	Neu
50多	Neu
50％	Neqa
51	Neu
52	FW
52	Neu
520	FW
53	FW
5380.	
54	FW
54%	Neqa
54萬	Neu
55	Neu
55億	Neu
55分	Nd
56	FW
56	Neu
57	Neu
58	FW
580	Neu
5847203	Neu
5847277	Neu
5847566	Neu
5847715	Neu
5847718	Neu
59	FW
5978.	
5千	Neu
5年級	Na
5日	Nd
5時	Nd
5月	Nd
5萬	Neu
6	Cbb
6	Neu
60	Neu
600	Neu
6000	Neu
600多	Neu
6070％	Neu
6086	Neu
6095	Neu
60％	Neqa
61號	Nc
62	Neu
6272	Neu
63	Neu
64	Neu
65	Neu
65t=91-200/91-200D-like	Neu
67	Neu
69	Neu
6年級	Na
6日	Nd
6月	Nd
6％	FW
7	Neu
7%	Neqa
7-11	FW
7.55％	Neqa
70	FW
70	Neu
700億	Neu
70多	Neu
70年代	Nd
71	Neu
72	Neu
725萬	Neu
73	Neu
74	Neu
747	FW
75	FW
75	Neu
750萬	Neu
75％	Neqa
76	Neu
77	Neu
77％	Neqa
78	Neu
79	FW
7日	Nd
7月	Nd
8	FW
8	Neu
8*12	Neu
80	Neu
800	Neu
80年代	Nd
80％	Neu
82年	Nd
83年	Nd
85	Neu
87	Neu
874	Neu
87705139	Neu
87707788	Neu
88	Neu
8:00	Nd
8:3	Neu
8:30	Nd
8ofthem	Neu
8日	Nd
8月	Nd
9	Neu
90	Neu
90.５	Neu
90年代	Nd
90％	Neqa
911	FW
92	Neu
921	FW
92年	Nd
93	Neu
93.６	Neu
94年	Nd
95	Neu
97年	Nd
99	Neu
9900	Neu
9日	Nd
9月	Nd
9點	Nd
:	COLONCATEGORY
<	FW
<<	FW
<<Ｎ	FW
<１００<	Neu
<１０９<	Neu
<４６億	Neu
<５１０１７	Neu
<Ｄｈｒｙｓｔｏｎｅ	FW
<Ｅｍａｃｓ	FW
<ＴＳＰ<	FW
